Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,All-cause mortality at day 28,Moderate disease (WHO 4 to 5),1,SUBGROUP_AND_OVERALL,Cavalcanti 2020,2020,0.0,0.0,0.0,0.0,5,172,0.0,0.0,7,159,0.0,0.0,0.543248,0.660299,0.213897,2.038341,Time point of outcome assessment (28 days); participants (WHO 4-5; only RT-PCR positive); comparator (standard of care)
1,1,All-cause mortality at day 28,Moderate disease (WHO 4 to 5),1,SUBGROUP_AND_OVERALL,Sekhavati 2020,2020,0.0,0.0,0.0,0.0,0,56,0.0,0.0,1,55,0.0,0.0,0.068287,0.327485,0.013628,7.869388,Time point of outcome assessment (30 days); participants (WHO 4; only RT-PCR positive); comparator (standard of care)
1,1,All-cause mortality at day 28,Moderate to severe disease (WHO 4 to 9),2,SUBGROUP_AND_OVERALL,Furtado 2020,2020,0.0,0.0,0.0,0.0,90,212,0.0,0.0,73,183,0.0,0.0,12.283155,1.064228,0.839623,1.348918,Time point of outcome assessment (29 days); participants (WHO 5-7; only RT-PCR positive); comparator (standard of care)
1,1,All-cause mortality at day 28,Moderate to severe disease (WHO 4 to 9),2,SUBGROUP_AND_OVERALL,RECOVERY 2021,2021,0.0,0.0,0.0,0.0,561,2582,0.0,0.0,1162,5181,0.0,0.0,87.10531,0.968755,0.886246,1.058947,Time point of outcome assessment (28 days); participants (WHO 4-7; 91.5% RT-PCR positive); comparator (standard of care)
1,2,Worsening of clinical status: participants with clinical deterioration (new need for invasive mechanical ventilation) or death at day 28,Moderate to severe disease (WHO 4-9),1,SUBGROUP_AND_OVERALL,RECOVERY 2021,2021,0.0,0.0,0.0,0.0,603,2430,0.0,0.0,1273,4881,0.0,0.0,100.0,0.951462,0.87499,1.034618,Time point of outcome assessment (28 days); participants (WHO 4-6; 91.5% RT-PCR positive); comparator (standard of care)
1,3,Improvement of clinical status: participants discharged alive at day 28,Moderate disease (WHO 4-5),1,SUBGROUP_AND_OVERALL,CJWT629A12301,2020,0.0,0.0,0.0,0.0,7,7,0.0,0.0,7,7,0.0,0.0,20.535217,1.0,0.776444,1.287922,Time point of outcome assessment (15 days); participants (WHO 4-5; only RT-PCR positive); comparator (placebo)
1,3,Improvement of clinical status: participants discharged alive at day 28,Moderate to severe disease (WHO 4-9),2,SUBGROUP_AND_OVERALL,Furtado 2020,2020,0.0,0.0,0.0,0.0,69,212,0.0,0.0,76,183,0.0,0.0,19.897371,0.783702,0.604848,1.015442,Time point of outcome assessment (29 days); participants (WHO 5-7; only RT-PCR positive); comparator (standard of care)
1,3,Improvement of clinical status: participants discharged alive at day 28,Moderate to severe disease (WHO 4-9),2,SUBGROUP_AND_OVERALL,RECOVERY 2021,2021,0.0,0.0,0.0,0.0,1788,2582,0.0,0.0,3525,5181,0.0,0.0,59.567411,1.017808,0.985985,1.050657,Time point of outcome assessment (28 days); participants (WHO 4-7; 91.5% RT-PCR positive); comparator (standard of care)
1,4,"Serious adverse events during the study period, defined as number of participants with any event",Moderate disease (WHO 4-5),1,SUBGROUP_AND_OVERALL,CJWT629A12301,2020,0.0,0.0,0.0,0.0,0,7,0.0,0.0,1,7,0.0,0.0,0.559134,0.333333,0.015836,7.016577,Time point of outcome assessment (15 days); participants (WHO 4-5; only RT-PCR positive); comparator (placebo)
1,4,"Serious adverse events during the study period, defined as number of participants with any event",Moderate disease (WHO 4-5),1,SUBGROUP_AND_OVERALL,Cavalcanti 2020,2020,0.0,0.0,0.0,0.0,3,172,0.0,0.0,2,159,0.0,0.0,1.645387,1.386628,0.23474,8.190938,Time point of outcome assessment (15 days); participants (WHO 4-5; only RT-PCR positive); comparator (standard of care)
1,4,"Serious adverse events during the study period, defined as number of participants with any event",Moderate disease (WHO 4-5),1,SUBGROUP_AND_OVERALL,NCT04335552,2021,0.0,0.0,0.0,0.0,1,5,0.0,0.0,1,5,0.0,0.0,0.844526,1.0,0.083812,11.931478,Time point of outcome assessment (60 days); participants (WHO min. 4; only RT-PCR positive); comparator (standard of care)
1,4,"Serious adverse events during the study period, defined as number of participants with any event",Moderate to severe disease (WHO 4-9),2,SUBGROUP_AND_OVERALL,Furtado 2020,2020,0.0,0.0,0.0,0.0,102,241,0.0,0.0,75,198,0.0,0.0,96.950952,1.117344,0.886537,1.408241,Time point of outcome assessment (29 days); participants (WHO 5-7; 89% RT-PCR positive); comparator (standard of care)
1,5,"Adverse events (any grade) during the study period, defined as number of participants with any event",Moderate disease (WHO 4-5),1,SUBGROUP_AND_OVERALL,CJWT629A12301,2020,0.0,0.0,0.0,0.0,5,7,0.0,0.0,4,7,0.0,0.0,11.465146,1.25,0.564806,2.766435,Time point of outcome assessment (15 days); participants (WHO 4-5; only RT-PCR positive); comparator (placebo)
