Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,1,Moderate disease (WHO 4 to 5),1,5,228,8,214,0.611535,0.610567,0.211027,1.766561,0.0,,,0.166549,1,0.683197,0.0,0.910185,,0.362725,subgroup:461149101552774927
1,1,Moderate to severe disease (WHO 4 to 9),2,651,2794,1235,5364,99.388465,0.980074,0.90171,1.065249,0.0,,,0.533009,1,0.465345,0.0,0.473361,,0.635956,subgroup:461149101553037074
1,2,Moderate to severe disease (WHO 4-9),1,603,2430,1273,4881,100.0,0.951462,0.87499,1.034618,0.0,,,0.0,0,1.0,0.0,1.163885,,0.244471,subgroup:461149101553299222
1,3,Moderate disease (WHO 4-5),1,7,7,7,7,20.535217,1.0,0.776444,1.287922,0.0,,,0.0,0,1.0,0.0,0.0,,1.0,subgroup:461149101553561369
1,3,Moderate to severe disease (WHO 4-9),2,1857,2794,3601,5364,79.464783,0.922548,0.71847,1.184594,0.025812,,,3.911388,1,0.04796,74.433631,0.631975,,0.527403,subgroup:461149101553823515
1,4,Moderate disease (WHO 4-5),1,4,184,4,171,3.049048,0.975243,0.264521,3.595549,0.0,,,0.62891,2,0.730187,0.0,0.037657,,0.969961,subgroup:461149101554085663
1,4,Moderate to severe disease (WHO 4-9),2,102,241,75,198,96.950952,1.117344,0.886537,1.408241,0.0,,,0.0,0,1.0,0.0,0.939844,,0.347298,subgroup:461149101554347811
1,5,Moderate disease (WHO 4-5),1,74,184,57,171,100.0,1.202182,0.918647,1.573227,0.0,,,0.376582,2,0.828374,0.0,1.341694,,0.179695,subgroup:461149101554347814
1,6,Moderate disease (WHO 4-5),1,1,228,2,214,0.875912,0.462209,0.04232,5.048112,0.0,,,0.0,0,1.0,0.0,0.632679,,0.526944,subgroup:461149101554609963
1,6,Moderate to severe disease (WHO 4-9),2,109,2555,229,4868,99.124088,0.924012,0.738032,1.156857,0.0,,,0.410581,1,0.521675,0.0,0.689237,,0.490674,subgroup:461149101555134254
