Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,"HRQL - disease-specific  (SNOT-22, 0 to 110, lower = better)",Up to 24 weeks,1,SUBGROUP_AND_OVERALL,Bachert 2016,2016,0.0,0.0,12.8,11.0,0,30,30.2,19.6,0,30,0.0,0.0,13.213193,-17.4,-25.442701,-9.357299,At 16 weeks
1,1,"HRQL - disease-specific  (SNOT-22, 0 to 110, lower = better)",Up to 24 weeks,1,SUBGROUP_AND_OVERALL,LIBERTY SINUS 24,,0.0,0.0,18.58,14.92,0,143,40.49,23.06,0,133,0.0,0.0,40.05331,-21.91,-26.529411,-17.290589,
1,1,"HRQL - disease-specific  (SNOT-22, 0 to 110, lower = better)",Up to 24 weeks,1,SUBGROUP_AND_OVERALL,LIBERTY SINUS 52,,0.0,0.0,23.89,18.77,0,295,42.16,23.36,0,153,0.0,0.0,46.733497,-18.27,-22.546532,-13.993468,
1,1,"HRQL - disease-specific  (SNOT-22, 0 to 110, lower = better)",At 52 weeks,2,SUBGROUP_AND_OVERALL,LIBERTY SINUS 52,,0.0,0.0,21.67,19.16,0,150,44.05,22.66,0,153,0.0,0.0,100.0,-22.38,-27.10161,-17.65839,
1,2,"Disease severity - VAS (0 to 10, lower = better)",,,SUBGROUP_AND_OVERALL,Bachert 2016,2016,0.0,0.0,-4.3,2.9459,0,30,-2.2,3.4815,0,30,0.0,0.0,8.343345,-2.1,-3.731964,-0.468036,
1,2,"Disease severity - VAS (0 to 10, lower = better)",,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 24,,0.0,0.0,-4.54,2.7504,0,143,-1.34,2.7678,0,133,0.0,0.0,52.348607,-3.2,-3.85152,-2.54848,"VAS score (0 to 10), lower = better (Question: 'How troublesome are your symptoms?')"
1,2,"Disease severity - VAS (0 to 10, lower = better)",,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 52,,0.0,0.0,-4.32,3.2634,0,295,-1.39,4.1221,0,153,0.0,0.0,39.308048,-2.93,-3.681865,-2.178135,
1,3,Serious adverse events,,,SUBGROUP_AND_OVERALL,Bachert 2016,2016,0.0,0.0,0.0,0.0,2,30,0.0,0.0,4,30,0.0,0.0,8.884596,0.5,0.098931,2.527011,At 16 weeks
1,3,Serious adverse events,,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 24,,0.0,0.0,0.0,0.0,6,143,0.0,0.0,19,132,0.0,0.0,43.889903,0.291498,0.120086,0.707586,"Included all participants who received at least one dose or part of a dose of the investigational medicinal product (IMP), analysed according to the treatment actually received, rather than the group randomised."
1,3,Serious adverse events,,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 52,,0.0,0.0,0.0,0.0,20,297,0.0,0.0,16,150,0.0,0.0,47.225502,0.631313,0.33711,1.182272,"Included all participants who received at least one dose or part of a dose of the investigational medicinal product (IMP), analysed according to the treatment actually received, rather than the group randomised. There was a discrepancy in the data shown in the main publication of the report versus the trial registry site: the main publication showed 18/297 versus 15/150."
1,4,Avoidance of surgery - number of patients who had surgery as rescue treatment,,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 24,,0.0,0.0,0.0,0.0,3,143,0.0,0.0,10,133,0.0,0.0,55.659208,0.279021,0.078482,0.991983,
1,4,Avoidance of surgery - number of patients who had surgery as rescue treatment,,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 52,,0.0,0.0,0.0,0.0,2,295,0.0,0.0,12,154,0.0,0.0,44.340792,0.087006,0.019723,0.383824,
1,5,"Extent of disease - endoscopy ('nasal polyps score', 0 to 8, higher = worse)",Up to 24 weeks,1,SUBGROUP_AND_OVERALL,Bachert 2016,2016,0.0,0.0,4.0,1.9,0,30,5.4,1.5,0,30,0.0,0.0,17.9293,-1.4,-2.266236,-0.533764,16 weeks follow-up
1,5,"Extent of disease - endoscopy ('nasal polyps score', 0 to 8, higher = worse)",Up to 24 weeks,1,SUBGROUP_AND_OVERALL,LIBERTY SINUS 24,,0.0,0.0,3.75,1.98,0,143,5.94,1.44,0,133,0.0,0.0,37.572151,-2.19,-2.596457,-1.783543,
1,5,"Extent of disease - endoscopy ('nasal polyps score', 0 to 8, higher = worse)",Up to 24 weeks,1,SUBGROUP_AND_OVERALL,LIBERTY SINUS 52,,0.0,0.0,4.46,1.89,0,295,6.09,1.19,0,153,0.0,0.0,44.498549,-1.63,-1.916479,-1.343521,Only the size of polyps is considered in the 'nasal polyps score' used in all three studies
1,5,"Extent of disease - endoscopy ('nasal polyps score', 0 to 8, higher = worse)",Up to 52 weeks,2,SUBGROUP_AND_OVERALL,LIBERTY SINUS 52,,0.0,0.0,3.76,2.2,0,150,6.1,1.52,0,153,0.0,0.0,100.0,-2.34,-2.766567,-1.913433,
1,6,"Extent of disease - CT scan (Lund Mackay, 0 to 24, higher = worse)",,,SUBGROUP_AND_OVERALL,Bachert 2016,2016,0.0,0.0,9.4,5.1,0,30,17.9,5.7,0,30,0.0,0.0,26.978978,-8.5,-11.236941,-5.763059,
1,6,"Extent of disease - CT scan (Lund Mackay, 0 to 24, higher = worse)",,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 24,,0.0,0.0,10.89,4.82,0,143,18.97,4.51,0,133,0.0,0.0,35.874539,-8.08,-9.180721,-6.979279,
1,6,"Extent of disease - CT scan (Lund Mackay, 0 to 24, higher = worse)",,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 52,,0.0,0.0,12.86,3.87,0,295,17.73,3.81,0,153,0.0,0.0,37.146483,-4.87,-5.617992,-4.122008,
1,7,"HRQL - generic (EQ-5D VAS, 0 to 100, higher = better)",,,SUBGROUP_AND_OVERALL,Bachert 2016,2016,0.0,0.0,10.73,12.0499,0,30,3.01,14.0217,0,30,0.0,0.0,15.000892,7.72,1.104256,14.335744,
1,7,"HRQL - generic (EQ-5D VAS, 0 to 100, higher = better)",,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 24,,0.0,0.0,12.0,17.2596,0,136,1.74,17.5587,0,130,0.0,0.0,37.464803,10.26,6.073747,14.446253,
1,7,"HRQL - generic (EQ-5D VAS, 0 to 100, higher = better)",,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 52,,0.0,0.0,10.83,19.72,0,289,3.91,18.4323,0,151,0.0,0.0,47.534305,6.92,3.203504,10.636496,
1,8,"Adverse events - nasopharyngitis, including sore throat (longest available data)",,,SUBGROUP_AND_OVERALL,Bachert 2016,2016,0.0,0.0,0.0,0.0,14,30,0.0,0.0,10,30,0.0,0.0,19.019813,1.4,0.742369,2.640195,
1,8,"Adverse events - nasopharyngitis, including sore throat (longest available data)",,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 24,,0.0,0.0,0.0,0.0,19,143,0.0,0.0,20,133,0.0,0.0,22.611858,0.883566,0.49381,1.58095,
1,8,"Adverse events - nasopharyngitis, including sore throat (longest available data)",,,SUBGROUP_AND_OVERALL,LIBERTY SINUS 52,,0.0,0.0,0.0,0.0,61,297,0.0,0.0,36,150,0.0,0.0,58.36833,0.85578,0.595787,1.22923,
2,1,"HRQL - SNOT-22 (1 to 100, lower = better) up to 25 weeks",,,SUBGROUP_AND_OVERALL,Bachert 2017,2017,0.0,0.0,27.1,21.7515,0,54,40.36,24.2094,0,51,0.0,0.0,100.0,-13.26,-22.08064,-4.43936,Data from EudraCT website
2,2,"Disease severity - VAS (0 to 10, lower = better)",,,SUBGROUP_AND_OVERALL,Bachert 2017,2017,0.0,0.0,4.18,3.62,0,41,6.21,3.36,0,31,0.0,0.0,100.0,-2.03,-3.650738,-0.409262,"Question: 'How troublesome are your symptoms of nasal polyposis?' (0 not troublesome, 10 worst possible)"
2,3,Serious adverse events,,,SUBGROUP_AND_OVERALL,Bachert 2017,2017,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0,10,0.0,0.0,100.0,1.571429,0.069642,35.458096,
2,3,Serious adverse events,,,SUBGROUP_AND_OVERALL,Gevaert 2011,2011,0.0,0.0,0.0,0.0,0,53,0.0,0.0,0,52,0.0,0.0,,,,,
2,4,Avoidance of surgery - patients still meeting criteria for surgery at end of follow-up,"Patients still meeting criteria for surgery at 24 weeks ",1,SUBGROUP_AND_OVERALL,Bachert 2017,2017,0.0,0.0,0.0,0.0,38,54,0.0,0.0,46,51,0.0,0.0,97.760115,0.780193,0.641781,0.948457,"All patients met the criteria for surgery at randomisation, but the criteria were different"
2,4,Avoidance of surgery - patients still meeting criteria for surgery at end of follow-up,Patients requiring 'rescue' surgery during trial,2,SUBGROUP_AND_OVERALL,Gevaert 2011,2011,0.0,0.0,0.0,0.0,4,20,0.0,0.0,3,10,0.0,0.0,2.239885,0.666667,0.183476,2.422357,
2,5,Extent of disease - endoscopic score,,,SUBGROUP_AND_OVERALL,Bachert 2017,2017,0.0,0.0,-1.9,1.8319,0,54,-0.7,1.814,0,53,0.0,0.0,65.540079,-1.2,-1.890821,-0.509179,
2,5,Extent of disease - endoscopic score,,,SUBGROUP_AND_OVERALL,Gevaert 2011,2011,0.0,0.0,-1.3,1.72,0,20,0.0,0.94,0,10,0.0,0.0,34.459921,-1.3,-2.252712,-0.347288,Only last observation carried forward data published
2,6,"HRQL - generic measured using EQ-5D VAS (range 0 to 100;  0 = worst, 100 = best imaginable health state) at week 25",,,SUBGROUP_AND_OVERALL,Bachert 2017,2017,0.0,0.0,81.13,16.9,0,54,75.45,18.85,0,51,0.0,0.0,100.0,5.68,-1.181605,12.541605,"Data from trial registry, least square means"
2,7,"Adverse events - nasopharyngitis, including sore throat",,,SUBGROUP_AND_OVERALL,Bachert 2017,2017,0.0,0.0,0.0,0.0,10,53,0.0,0.0,14,52,0.0,0.0,94.990364,0.700809,0.342601,1.433541,Data from EudraCT
2,7,"Adverse events - nasopharyngitis, including sore throat",,,SUBGROUP_AND_OVERALL,Gevaert 2011,2011,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0,10,0.0,0.0,5.009636,1.571429,0.069642,35.458096,
3,1,"HRQL disease-specific - SNOT-22 (0 to 110, lower = better)",,,SUBGROUP_AND_OVERALL,POLYP 1,2017 September 12,0.0,0.0,-24.7,17.0554,0,72,-8.58,16.898,0,66,0.0,0.0,54.093466,-16.12,-21.789174,-10.450826,
3,1,"HRQL disease-specific - SNOT-22 (0 to 110, lower = better)",,,SUBGROUP_AND_OVERALL,POLYP 2,2017 September 12,0.0,0.0,-21.59,17.7165,0,62,-6.55,17.6563,0,65,0.0,0.0,45.906534,-15.04,-21.193964,-8.886036,
3,2,Serious adverse events,,,SUBGROUP_AND_OVERALL,Gevaert 2013,2013,0.0,0.0,0.0,0.0,0,15,0.0,0.0,0,8,0.0,0.0,,,,,
3,2,Serious adverse events,,,SUBGROUP_AND_OVERALL,NCT01066104,6104,0.0,0.0,0.0,0.0,0,13,0.0,0.0,0,14,0.0,0.0,,,,,
3,2,Serious adverse events,,,SUBGROUP_AND_OVERALL,POLYP 1,2017 September 12,0.0,0.0,0.0,0.0,0,72,0.0,0.0,1,66,0.0,0.0,34.095841,0.305936,0.01268,7.381705,
3,2,Serious adverse events,,,SUBGROUP_AND_OVERALL,POLYP 2,2017 September 12,0.0,0.0,0.0,0.0,1,64,0.0,0.0,3,63,0.0,0.0,65.904159,0.328125,0.035062,3.070741,
