Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,"HRQL - disease-specific  (SNOT-22, 0 to 110, lower = better)",Anti-IL-4Rα mAb (dupilumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Continuous,false,,,,,,,Dupilumab,Placebo,IV,Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,0.953667,1,0.328788,0.0,analysis:460563994796441692
1,2,"Disease severity - VAS (0 to 10, lower = better)",Anti-IL-4Rα mAb (dupilumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Continuous,false,,,,,,,Dupilumab,Placebo,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,468,,316,-3.002091,-3.473482,-2.530701,,,0.0,,,1.563531,2,0.457598,0.0,12.482209,,0.0,,,,,analysis:460563994797228131
1,3,Serious adverse events,Anti-IL-4Rα mAb (dupilumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Dichotomous,true,,,,,,,Dupilumab,Placebo,MH,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,28,470,39,312,0.470502,0.290152,0.762952,,,,,,1.968591,2,0.373703,0.0,3.056969,,0.002236,,,,,analysis:460563994797490279
1,4,Avoidance of surgery - number of patients who had surgery as rescue treatment,Anti-IL-4Rα mAb (dupilumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Dichotomous,true,,,,,,,Dupilumab,Placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,5,438,22,287,0.16643,0.05333,0.519388,,,0.186948,,,1.376808,1,0.240646,27.368215,3.08817,,0.002014,,,,,analysis:460563994797752427
1,5,"Extent of disease - endoscopy ('nasal polyps score', 0 to 8, higher = worse)",Anti-IL-4Rα mAb (dupilumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Continuous,false,,,,,,,Dupilumab,Placebo,IV,Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,2.936544,1,0.086596,65.946359,analysis:460563994797752430
1,6,"Extent of disease - CT scan (Lund Mackay, 0 to 24, higher = worse)",Anti-IL-4Rα mAb (dupilumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Continuous,false,,,,,,,Dupilumab,Placebo,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,468,,316,-7.00091,-9.614716,-4.387103,,,4.642121,,,25.688268,2,3.0E-6,92.214345,5.249635,,0.0,,,,,analysis:460563994798276725
1,7,"HRQL - generic (EQ-5D VAS, 0 to 100, higher = better)",Anti-IL-4Rα mAb (dupilumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Continuous,false,,,,,,,Dupilumab,Placebo,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,455,,311,8.291332,5.728989,10.853674,,,0.0,,,1.401217,2,0.496283,0.0,6.34213,,0.0,,,,,analysis:460563994798801017
1,8,"Adverse events - nasopharyngitis, including sore throat (longest available data)",Anti-IL-4Rα mAb (dupilumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Dichotomous,true,,,,,,,Dupilumab,Placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,94,470,66,313,0.946581,0.717801,1.248279,,,0.0,,,1.825305,2,0.401458,0.0,0.388916,,0.697338,,,,,analysis:460563994799063165
2,1,"HRQL - SNOT-22 (1 to 100, lower = better) up to 25 weeks",Anti-IL-5 mAb (mepolizumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Continuous,false,,,,,,,Mepolizumab,Placebo,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,54,,51,-13.26,-22.08064,-4.43936,,,0.0,,,0.0,0,0.0,0.0,2.946399,,0.003215,,,,,analysis:460563994799325314
2,2,"Disease severity - VAS (0 to 10, lower = better)",Anti-IL-5 mAb (mepolizumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Continuous,false,,,,,,,Mepolizumab,Placebo,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,41,,31,-2.03,-3.650738,-0.409262,,,0.0,,,0.0,0,1.0,0.0,2.454887,,0.014093,,,,,analysis:460563994799325316
2,3,Serious adverse events,Anti-IL-5 mAb (mepolizumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Dichotomous,true,,,,,,,Mepolizumab,Placebo,MH,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,1,73,0,62,1.571429,0.069642,35.458096,,,,,,0.0,0,1.0,0.0,0.284265,,0.776207,,,,,analysis:460563994799587462
2,4,Avoidance of surgery - patients still meeting criteria for surgery at end of follow-up,Anti-IL-5 mAb (mepolizumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Dichotomous,true,,,,,,,Mepolizumab,Placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,42,74,49,61,0.77745,0.640932,0.943046,,,0.0,,,0.062192,1,0.803064,0.0,2.555178,,0.010613,0.055786,1,0.813284,0.0,analysis:460563994799849609
2,5,Extent of disease - endoscopic score,Anti-IL-5 mAb (mepolizumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Continuous,false,,,,,,,Mepolizumab,Placebo,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,74,,63,-1.23446,-1.793726,-0.675194,,,0.0,,,0.027738,1,0.867726,0.0,4.326198,,1.5E-5,,,,,analysis:460563994801422478
2,6,"HRQL - generic measured using EQ-5D VAS (range 0 to 100;  0 = worst, 100 = best imaginable health state) at week 25",Anti-IL-5 mAb (mepolizumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Continuous,false,,,,,,,Mepolizumab,Placebo,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,54,,51,5.68,-1.181605,12.541605,,,0.0,,,0.0,0,1.0,0.0,1.622448,,0.104707,,,,,analysis:460563994801684625
2,7,"Adverse events - nasopharyngitis, including sore throat",Anti-IL-5 mAb (mepolizumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Dichotomous,true,,,,,,,Mepolizumab,Placebo,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,11,73,14,62,0.72974,0.363281,1.465864,,,0.0,,,0.246379,1,0.619636,0.0,0.885319,,0.375985,,,,,analysis:460563994801684627
3,1,"HRQL disease-specific - SNOT-22 (0 to 110, lower = better)",Anti-IgE mAb (omalizumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Continuous,false,,,,,,,Omalizumab,Placebo,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,134,,131,-15.624209,-19.793788,-11.45463,,,0.0,,,0.064,1,0.800282,0.0,7.34436,,0.0,,,,,analysis:460563994801946775
3,2,Serious adverse events,Anti-IgE mAb (omalizumab) versus placebo (on top of topical steroids),Custom input,"#N/A",Dichotomous,true,,,,,,,Omalizumab,Placebo,MH,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,1,171,4,158,0.320559,0.051439,1.99768,,,,,,0.001244,1,0.97186,0.0,1.218701,,0.222958,,,,,analysis:460563994802208922
