Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,All-cause mortality at up to day 28,,,SUBGROUP_AND_OVERALL,Deftereos 2020,2020,0.0,0.0,0.0,0.0,1,55,0.0,0.0,4,50,0.0,0.0,0.354645,0.227273,0.026274,1.965949,
1,1,All-cause mortality at up to day 28,,,SUBGROUP_AND_OVERALL,Horby 2021,,0.0,0.0,0.0,0.0,1173,5610,0.0,0.0,1190,5730,0.0,0.0,99.645355,1.006799,0.937093,1.08169,
1,2,All-cause mortality (time-to-event),,,SUBGROUP_AND_OVERALL,Horby 2021,,0.00995,0.042828,0.0,0.0,0,5610,0.0,0.0,0,5730,0.0,0.0,100.0,1.01,0.92868,1.09844,
1,3,All-cause mortality at hospital discharge,,,SUBGROUP_AND_OVERALL,Lopes 2021,,0.0,0.0,0.0,0.0,0,38,0.0,0.0,3,37,0.0,0.0,100.0,0.139194,0.007438,2.604992,
1,4,"Worsening of clinical status: participants with clinical deterioration, defined as new need for invasive mechanical ventilation or death up to day 28",,,SUBGROUP_AND_OVERALL,Deftereos 2020,2020,0.0,0.0,0.0,0.0,1,55,0.0,0.0,6,50,0.0,0.0,0.471366,0.151515,0.01889,1.215315,
1,4,"Worsening of clinical status: participants with clinical deterioration, defined as new need for invasive mechanical ventilation or death up to day 28",,,SUBGROUP_AND_OVERALL,Horby 2021,,0.0,0.0,0.0,0.0,1344,5342,0.0,0.0,1343,5469,0.0,0.0,99.528634,1.024536,0.95953,1.093947,
1,5,Improvement of clinical status: participants discharged alive up to day 28,,,SUBGROUP_AND_OVERALL,Horby 2021,,0.0,0.0,0.0,0.0,3901,5610,0.0,0.0,4032,5730,0.0,0.0,100.0,0.988205,0.964644,1.012342,
1,6,Improvement of clinical status: participants discharged alive at longest follow-up,,,SUBGROUP_AND_OVERALL,Lopes 2021,,0.0,0.0,0.0,0.0,38,38,0.0,0.0,34,37,0.0,0.0,100.0,1.087328,0.976601,1.210609,
1,7,Adverse events (any grade) until discharge,,,SUBGROUP_AND_OVERALL,Lopes 2021,,0.0,0.0,0.0,0.0,14,36,0.0,0.0,14,36,0.0,0.0,100.0,1.0,0.560398,1.784445,
1,8,Serious adverse events until hospital discharge or a maximum of 21 days,,,SUBGROUP_AND_OVERALL,Deftereos 2020,2020,0.0,0.0,0.0,0.0,0,55,0.0,0.0,0,50,0.0,0.0,,,,,
1,9,Worsening of clinical status: new need for invasive mechanical ventilation,,,SUBGROUP_AND_OVERALL,Deftereos 2020,2020,0.0,0.0,0.0,0.0,1,55,0.0,0.0,5,50,0.0,0.0,30.9563,0.181818,0.021986,1.503584,
1,9,Worsening of clinical status: new need for invasive mechanical ventilation,,,SUBGROUP_AND_OVERALL,Horby 2021,,0.0,0.0,0.0,0.0,600,5342,0.0,0.0,591,5469,0.0,0.0,69.0437,1.039364,0.933757,1.156916,
1,10,"Improvement of clinical status: weaned or liberated from invasive mechanical ventilation, and surviving (in subgroup of participants requiring invasive mechanical ventilation at baseline)",,,SUBGROUP_AND_OVERALL,Horby 2021,,0.0,0.0,0.0,0.0,88,268,0.0,0.0,81,261,0.0,0.0,100.0,1.058043,0.824787,1.357265,
1,11,Improvement of clinical status: duration to liberation from supplemental oxygen,,,SUBGROUP_AND_OVERALL,Lopes 2021,,0.0,0.0,3.8,2.5,0,36,6.3,2.7,0,36,0.0,0.0,100.0,-2.5,-3.702005,-1.297995,
1,12,Need for new dialysis,,,SUBGROUP_AND_OVERALL,Horby 2021,,0.0,0.0,0.0,0.0,212,5570,0.0,0.0,203,5683,0.0,0.0,100.0,1.068114,0.877901,1.29954,
1,13,Admission to intensive care unit,,,SUBGROUP_AND_OVERALL,Lopes 2021,,0.0,0.0,0.0,0.0,3,38,0.0,0.0,4,37,0.0,0.0,100.0,0.730263,0.175308,3.041991,
1,14,Duration of hospitalisation,,,SUBGROUP_AND_OVERALL,Lopes 2021,,0.0,0.0,6.6,2.6,0,36,8.6,3.1,0,36,0.0,0.0,100.0,-2.0,-3.321664,-0.678336,
1,15,"Incidence of abdominal pain during the study period, defined as number of participants with any event",,,SUBGROUP_AND_OVERALL,Deftereos 2020,2020,0.0,0.0,0.0,0.0,5,55,0.0,0.0,0,50,0.0,0.0,35.894482,10.017857,0.567948,176.70189,
1,15,"Incidence of abdominal pain during the study period, defined as number of participants with any event",,,SUBGROUP_AND_OVERALL,Lopes 2021,,0.0,0.0,0.0,0.0,4,36,0.0,0.0,4,36,0.0,0.0,64.105518,1.0,0.270727,3.693752,
1,16,"Incidence of diarrhoea during the study period, defined as number of participants with any event",,,SUBGROUP_AND_OVERALL,Deftereos 2020,2020,0.0,0.0,0.0,0.0,25,55,0.0,0.0,9,50,0.0,0.0,84.402902,2.525253,1.30695,4.879223,
1,16,"Incidence of diarrhoea during the study period, defined as number of participants with any event",,,SUBGROUP_AND_OVERALL,Lopes 2021,,0.0,0.0,0.0,0.0,6,36,0.0,0.0,2,36,0.0,0.0,15.597098,3.0,0.648196,13.884688,
1,17,"Incidence of nausea and vomiting during the study period, defined as number of participants with any event",,,SUBGROUP_AND_OVERALL,Lopes 2021,,0.0,0.0,0.0,0.0,4,36,0.0,0.0,2,36,0.0,0.0,100.0,2.0,0.390567,10.241525,
2,1,All-cause mortality at day 28,,,SUBGROUP_AND_OVERALL,Tardif 2021,,0.0,0.0,0.0,0.0,5,2235,0.0,0.0,9,2253,0.0,0.0,100.0,0.56833,0.199044,1.622748,
2,2,Admission to hospital or death within 28 days,,,SUBGROUP_AND_OVERALL,Tardif 2021,,0.0,0.0,0.0,0.0,104,2235,0.0,0.0,131,2253,0.0,0.0,100.0,0.800287,0.622844,1.028281,
2,3,Serious adverse events within 28 days,,,SUBGROUP_AND_OVERALL,Tardif 2021,,0.0,0.0,0.0,0.0,108,2195,0.0,0.0,139,2217,0.0,0.0,100.0,0.784766,0.614619,1.002014,
2,4,Worsening of clinical status: need for invasive mechanical ventilation,,,SUBGROUP_AND_OVERALL,Tardif 2021,,0.0,0.0,0.0,0.0,11,2235,0.0,0.0,21,2253,0.0,0.0,100.0,0.537256,0.268033,1.076896,
2,5,"Incidence of diarrhoea during the study period, defined as number of participants with any event",,,SUBGROUP_AND_OVERALL,Tardif 2021,,0.0,0.0,0.0,0.0,300,2195,0.0,0.0,161,2217,0.0,0.0,100.0,1.88203,1.568613,2.25807,
