Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,All-cause mortality at up to day 28,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,1174,5665,1194,5780,1.004035,0.93458,1.078651,,,,,,1.826954,1,0.176488,45.264091,0.110088,,0.91234,,,,,analysis:461148564524574478
1,2,All-cause mortality (time-to-event),People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Contrast level,true,,,,,,,Colchicine,Placebo or standard care,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,5610,,5730,1.01,0.92868,1.09844,,,0.0,,,0.0,0,1.0,0.0,0.232325,,0.816286,,,,,analysis:461148564524836625
1,3,All-cause mortality at hospital discharge,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,0,38,3,37,0.139194,0.007438,2.604992,,,0.0,,,0.0,0,1.0,0.0,1.319361,,0.187048,,,,,analysis:461148564524836627
1,4,"Worsening of clinical status: participants with clinical deterioration, defined as new need for invasive mechanical ventilation or death up to day 28",People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,1345,5397,1349,5519,1.020421,0.955741,1.089478,,,,,,3.238038,1,0.071947,69.117103,0.605055,,0.545142,,,,,analysis:461148564525098773
1,5,Improvement of clinical status: participants discharged alive up to day 28,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,3901,5610,4032,5730,0.988205,0.964644,1.012342,,,0.0,,,0.0,0,1.0,0.0,0.963671,,0.335211,,,,,analysis:461148564527720216
1,6,Improvement of clinical status: participants discharged alive at longest follow-up,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,38,38,34,37,1.087328,0.976601,1.210609,,,0.0,,,0.0,0,1.0,0.0,1.527882,,0.126542,,,,,analysis:461148564529030938
1,7,Adverse events (any grade) until discharge,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564529293084
1,8,Serious adverse events until hospital discharge or a maximum of 21 days,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564529555230
1,9,Worsening of clinical status: new need for invasive mechanical ventilation,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564529555232
1,10,"Improvement of clinical status: weaned or liberated from invasive mechanical ventilation, and surviving (in subgroup of participants requiring invasive mechanical ventilation at baseline)",People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564529817379
1,11,Improvement of clinical status: duration to liberation from supplemental oxygen,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Continuous,false,,,,,,,Colchicine,Placebo or standard care,IV,Mean Difference,days,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564529817381
1,12,Need for new dialysis,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Odds Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564530079527
1,13,Admission to intensive care unit,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564530341673
1,14,Duration of hospitalisation,People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Continuous,false,,,,,,,Colchicine,Placebo or standard care,IV,Mean Difference,days,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564530341675
1,15,"Incidence of abdominal pain during the study period, defined as number of participants with any event",People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564530603821
1,16,"Incidence of diarrhoea during the study period, defined as number of participants with any event",People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchcine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564530603824
1,17,"Incidence of nausea and vomiting during the study period, defined as number of participants with any event",People with a diagnosis of COVID-19 and moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564531128115
2,1,All-cause mortality at day 28,People with a diagnosis of SARS-CoV-2 infection and asymptomatic or mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,PETO,Peto Odds Ratio,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,5,2235,9,2253,0.56833,0.199044,1.622748,,,,,,0.0,0,1.0,0.0,1.055577,,0.291162,,,,,analysis:461148564531128118
2,2,Admission to hospital or death within 28 days,People with a diagnosis of SARS-CoV-2 infection and asymptomatic or mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,104,2235,131,2253,0.800287,0.622844,1.028281,,,0.0,,,0.0,0,1.0,0.0,1.741907,,0.081525,,,,,analysis:461148564531390264
2,3,Serious adverse events within 28 days,People with a diagnosis of SARS-CoV-2 infection and asymptomatic or mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564531390266
2,4,Worsening of clinical status: need for invasive mechanical ventilation,People with a diagnosis of SARS-CoV-2 infection and asymptomatic or mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,PETO,Peto Odds Ratio,,Fixed effect,"#N/A",false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:461148564531652412
2,5,"Incidence of diarrhoea during the study period, defined as number of participants with any event",People with a diagnosis of SARS-CoV-2 infection and asymptomatic or mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,Colchicine,Placebo or standard care,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,300,2195,161,2217,1.88203,1.568613,2.25807,,,0.0,,,0.0,0,0.0,0.0,6.803851,,0.0,,,,,analysis:461148564531652414
