Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,1,All-cause mortality at up to day 28,Individuals with moderate disease,SUBGROUP_AND_OVERALL,Agarwal 2020,2020,0.0,0.0,0.0,0.0,34,235,0.0,0.0,31,229,0.0,0.0,1.527301,1.068771,0.680511,1.67855,,Low risk,<p>The allocation sequence was random and concealed and there were no differences between intervention groups suggesting a problem with the randomization process.</p>,Some concerns,"<p>Comment: The study used an open label design.<br/>Quote: &quot;Because our study used an open label design, it was susceptible to anchoring bias of the treating doctors in outcome ascertainment&quot;</p><p>Comment: Five patients in the CP arm, and four in the control arm did not receive the allocated intervention, because of withdrawal of consent. This could be due to awareness of intervention. Three patients in the control group received CP, instead. </p>",Low risk,<p>Quote: &quot;We performed an intention-to-treat analysis after imputing the missing composite outcomes for progression to severe disease or mortality.&quot;</p>,Low risk,"<p>Comment: Death is very clear as outcome, death vs alive.</p><p>Quote: &quot;All participants were contacted by telephone on day 28 to assess health status.&quot;</p><p>Quote: &quot;Data were collected in structured paper case record forms and then entered in the Research Electronic Data Capture system (REDCap, version 8.5 Vanderbilt University, TN)&quot; &quot;An independent data and safety monitoring board oversaw the study.&quot;</p>",Low risk,"<p>Comment: The statistical analysis plan and protocol were not available yet, but we could compare the planned and reported outcome with the trial registry. The registry mentioned &quot;All cause mortality at 28 days or progression to severe disease&quot;.</p>",Some concerns,"<p>Comment: For this outcome &quot;mortality&quot; in this study, there is a low risk of bias from the randomization process, missing outcome data, measurement of the outcome and in selection of the reported result. However, there are some concerns for bias due to deviations from intended interventions.</p>"
1,1,All-cause mortality at up to day 28,Individuals with moderate disease,SUBGROUP_AND_OVERALL,AlQahtani 2021,2021,0.0,0.0,0.0,0.0,1,20,0.0,0.0,2,20,0.0,0.0,0.058059,0.5,0.049183,5.08306,,Low risk,<p>Participants were block randomized by computer-generated random numbering in a 1:1 ratio to receive either convalescent plasma in addition to the standard therapy or standard of care alone and the allocation sequence was concealed. There are no baseline differences that would suggest a problem with randomisation.</p>,Low risk,"<p>Comment: This was an open label trial.</p><p>Quote: &quot;Patients and clinicians were not blinded to the treatment given&quot;</p><p>Comment: There were small differences in co-interventions, but this was probably not due to trial context. </p>",Low risk,<p>Comment: An intention-to-treat (ITT) analysis was performed.</p>,Low risk,"<p>Comment: Mortality is a clear and objective measurement, dead vs alive. </p>",Some concerns,<p>Comment: The time point of the outcome measurement was not pre-specified in the study protocol. </p>,Some concerns,"<p>For the outcome &quot;mortality&quot; in this study, there are some concerns for bias in selection of reported results. However, for all the other domains, there is a low risk of bias. </p>"
1,1,All-cause mortality at up to day 28,Individuals with moderate disease,SUBGROUP_AND_OVERALL,Avendano-Sola 2021,2020,0.0,0.0,0.0,0.0,7,179,0.0,0.0,14,171,0.0,0.0,0.400396,0.477654,0.197579,1.154744,,Low risk,<p>Participants were randomized through a web-based eCRF system (ORACLE clinical) in a 1:1 ratio to receive either convalescent plasma in addition to the standard therapy or standard of care alone and the allocation sequence was concealed. There are no baseline differences that would suggest a problem with randomisation.</p>,Low risk,"<p>Comment: This was an open label trial. Of the patients randomized to receive plasma, 37 (97.4%) received treatment as assigned.</p><p>Quote: &quot;1 patient did not receive CP due to absence of AB0 blood group compatible plasma&quot; </p><p>Comment: ITT was performed</p>",Low risk,"<p>Comment: Data on 30-day mortality was available for all the participants randomized (although some were lost to follow-up, withdrew consent).</p>",Low risk,"<p>Comment: Mortality rate at day 29 is a clear and objective outcome measure, dead vs. alive.</p>",Low risk,"<p>Comment: The trial protocol and SAP were not available, but some supplementary material was provided on methods and the trial registry was available. From the trial registry we could compare the outcomes planed and reported and there were no inconsistencies for the mortality at day 29 assessment.</p>",Low risk,"<p>Comment: For the outcome 30-day mortality in this study, there is a low risk of bias for all the domains. </p>"
1,1,All-cause mortality at up to day 28,Individuals with moderate disease,SUBGROUP_AND_OVERALL,Holm 2021,2021,0.0,0.0,0.0,0.0,2,17,0.0,0.0,3,14,0.0,0.0,0.115594,0.54902,0.106134,2.84001,,Low risk,"<p>Patients eligible for inclusion were enrolled and randomized by a study physician (KH, OL, CW, JO, MR), 1:1 using the electronic software REDCap to either receive SOC or SOC with 200–250 mL of CCP administered intravenously during 30 min on three consecutive days. Blocks of ten patients were used for randomization. </p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for all participants randomized</p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Some concerns,"<p>No protocol available online (could be requested), but clinical trial registry is available. All-cause mortality within 28 days: this was changed from the three month in the ClinicalTrial registration due to a maximum follow-up time of 28 days</p>",Some concerns,<p>- </p>
1,1,All-cause mortality at up to day 28,Individuals with moderate disease,SUBGROUP_AND_OVERALL,Kirenga 2021,2021,0.0,0.0,0.0,0.0,10,69,0.0,0.0,8,67,0.0,0.0,0.415265,1.213768,0.510147,2.887863,,Low risk,"<p>Randomisation was performed using permuted block randomisation with varying block sizes ranging from 4 to 8. Generation of randomisation numbers was done by the study biostatistician, who did not have contact with participants. The biostatistician printed individual randomisation numbers with their corresponding treatment assignment and placed each number in an opaque envelope. </p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for (nearly) all participants randomized</p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the trial registration.</p>,Low risk,<p>-</p>
1,1,All-cause mortality at up to day 28,Individuals with moderate disease,SUBGROUP_AND_OVERALL,Korley 2021,2021,0.0,0.0,0.0,0.0,5,257,0.0,0.0,1,254,0.0,0.0,0.068178,4.941634,0.581396,42.001891,,High risk,<p>Baseline differences (characteristics are not balanced) in hospitalisation between groups suggesting a problem with randomization. </p>,Low risk,"<p>The participants were blinded to the treatment, but those delivering the intervention were aware of intervention received. There were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for (nearly) all participants randomized</p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were unaware of the intervention received, so it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the protocol.</p>,High risk,<p>High risk of bias arising from the randomization process.</p>
1,1,All-cause mortality at up to day 28,Individuals with moderate disease,SUBGROUP_AND_OVERALL,Menichetti 2021,2021,0.0,0.0,0.0,0.0,14,231,0.0,0.0,19,240,0.0,0.0,0.702352,0.76555,0.393196,1.49052,,Low risk,"<p>A stratified permuted block randomization procedure with a 1:1 ratio, with blocks of variable sizes and stratification for clinical sites, was generated by using Stata version 16.1 (StataCorp). Eligible patients underwent web-based treatment allocation through REDcap platform to receive either administration of COVID-19 CP in addition to standard therapy (ST) or ST alone. </p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,"<p>Data for this outcome was available for (nearly) all participants randomized, in a modified intention-to-treat analysis.</p>",Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.</p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the protocol.</p>,Low risk,<p>-</p>
1,1,All-cause mortality at up to day 28,Individuals with moderate disease,SUBGROUP_AND_OVERALL,Simonovich 2020,2020,0.0,0.0,0.0,0.0,25,228,0.0,0.0,12,105,0.0,0.0,0.741705,0.95943,0.501698,1.834781,,Low risk,<p>Participants were randomised through a randomization program (REDCap) in a 2:1 ratio to receive either convalescent plasma or a placebo. The allocation sequence was random and concealed. There are no baseline differences that would suggest a problem with randomisation.</p>,Low risk,"<p>Comment: This trial was double-blinded.<br/>Quote: &quot;The intervention will remain blind to the research subjects and to the research team throughout the entire protocol. <br/>Quote: &quot;Since the plasma solution is slightly opaque, the container and IV line will be covered with a coloured sleeve to maintain the masking.&quot;</p><p>Comment: An intention-to-treat (ITT) analysis was performed.</p>",Low risk,<p>Comment: One patient in control group did not receive intervention due to withdrawal of consent after randomisation and was excluded from the analysis.</p>,Low risk,<p>Quote: &quot;The intervention will remain blind to the research subjects and to the research team throughout the entire protocol. The transfusional medicine team and the persons in charge of the statistical analysis will not be blind regarding the assignment of the branch to which the patients have been randomized.&quot;</p>,Low risk,<p>Comment: The outcome was analysed as planned at protocol stage.</p>,Low risk,"<p>Comment: For the outcome &quot;mortality&quot; in this study, all the domains have a low risk of bias.</p>"
1,1,All-cause mortality at up to day 28,Individuals with severe disease,SUBGROUP_AND_OVERALL,Bar 2021,2021,0.0,0.0,0.0,0.0,2,40,0.0,0.0,10,39,0.0,0.0,0.147929,0.195,0.045618,0.833556,,Some concerns,<p>Participants were assigned to treatment or control in a 1:1 ratio using randomization stratified on the use of remdesivir and mechanical ventilation at entry using block randomization with variable block size. There is no information on whether the allocation sequence was concealed. </p>,Low risk,,Low risk,,Low risk,,Low risk,,Not applicable,
1,1,All-cause mortality at up to day 28,Individuals with severe disease,SUBGROUP_AND_OVERALL,De Santis 2022,2022,0.0,0.0,0.0,0.0,8,36,0.0,0.0,18,71,0.0,0.0,0.585377,0.876543,0.422447,1.818754,,Some concerns,"<p>The study methods it is stated that this is a &quot;investigator-initiated multicenter open-label randomized controlled trial&quot;, but no further information on the allocation sequence concealment. </p>",Low risk,"<p>Both participants and those delivering the intervention were aware of intervention received, but there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome was available for (nearly) all participants randomized<br/> </p>,Low risk,"<p>The measurement of the outcome was appropriate and it is unlikely that it differed between intervention groups. The outcome assessors were aware of the intervention received, but it is unlikely that knowledge of intervention received could have affected outcome measurement.<br/> </p>",Low risk,<p>The data that produced this result was analysed in accordance with the predefined outcomes stated in the trial registration.<br/> </p>,Some concerns,<p>-</p>
