Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,ID
1,1,Individuals with moderate disease,1,98,1236,90,1100,4.028849,0.920827,0.697252,1.216092,0.0,6.258726,7.0,0.509885,0.0,0.581263,0.561063,subgroup:422174204002633014
1,1,Individuals with severe disease,2,370,1201,340,1064,20.052377,0.780242,0.499753,1.218158,0.097643,5.80145,3.0,0.12168,48.288787,1.091755,0.274941,subgroup:422174239342790065
1,1,Individuals with moderate to severe disease,3,1681,7459,1621,6961,75.918774,0.982388,0.925157,1.043158,0.0,7.852162,8.0,0.448043,0.0,0.580241,0.561752,subgroup:422174258471175608
1,2,Individuals with moderate to severe disease,1,14,83,22,82,49.710396,0.627969,0.348705,1.130884,0.0,0.005539,1.0,0.940671,0.0,1.550157,0.121104,subgroup:432819719004020351
1,2,Individuals with severe disease,2,11,36,25,71,50.289604,0.867778,0.483508,1.557446,0.0,0.0,0.0,1.0,0.0,0.475255,0.634605,subgroup:432819726304206466
1,3,Individuals with moderate disease,1,,707,,583,2.543812,0.807545,0.548327,1.189306,0.0,2.503756,3.0,0.474613,0.0,1.082218,0.279156,subgroup:422175220900632047
1,3,Individuals with severe disease,2,,1202,,1065,20.72005,0.773957,0.477785,1.253721,0.094946,4.580422,3.0,0.205228,34.503846,1.041181,0.297791,subgroup:422175224128148976
1,3,Individuals with moderate to severe disease,3,,7008,,6505,76.736138,0.994978,0.927262,1.067639,0.0,4.415953,7.0,0.730813,0.0,0.139999,0.888661,subgroup:422175226667800049
1,4,Individuals with moderate disease,1,35,247,31,244,5.84582,1.120792,0.713949,1.759474,0.0,0.484223,1.0,0.486516,0.0,0.495601,0.620176,subgroup:423731566624569643
1,4,Individuals with severe disease,2,407,1118,358,947,94.15418,0.871127,0.558788,1.35805,0.059971,1.559421,1.0,0.21175,35.873648,0.609012,0.542517,subgroup:423731569524668768
1,5,Individuals with moderate disease,1,96,720,66,588,5.43234,1.045494,0.765144,1.428564,0.008459,2.209456,2.0,0.331301,9.479994,0.279318,0.780001,subgroup:432864062164487125
1,5,Individuals with severe disease,2,347,701,275,606,26.21962,1.090816,0.972336,1.223733,0.0,0.0,0.0,1.0,0.0,1.481747,0.138408,subgroup:432864064737692630
1,5,Individuals with moderate to severe disease,3,1767,6107,1654,5755,68.34804,1.03412,0.904228,1.182671,0.005525,1.871721,1.0,0.171278,46.573241,0.489913,0.624195,subgroup:432864067813166039
1,6,Individuals with moderate disease,1,171,228,80,105,3.500273,0.984375,0.863881,1.121676,0.0,0.0,0.0,1.0,0.0,0.236392,0.813128,subgroup:432864032968199120
1,6,Individuals with severe disease,2,26,51,18,50,0.285518,1.416122,0.896502,2.236918,0.0,0.0,0.0,1.0,0.0,1.491577,0.13581,subgroup:432864036350643153
1,6,Individuals with moderate to severe disease,3,4164,6238,4026,6049,96.214209,0.998208,0.973655,1.023381,0.0,0.634729,3.0,0.888438,0.0,0.141131,0.887766,subgroup:432864040242170835
1,10,Individuals with moderate disease,1,52,716,25,595,17.211548,1.477258,0.43457,5.021717,0.609695,4.176916,1.0,0.040978,76.058894,0.625011,0.531964,subgroup:432864089449221081
1,10,Individuals with moderate to severe disease,2,310,693,153,388,82.788452,1.183931,1.022746,1.370519,0.0,0.02182,1.0,0.882566,0.0,2.261178,0.023748,subgroup:432864092718943194
1,11,Individuals with moderate disease,1,54,228,19,105,14.914525,1.308864,0.818927,2.091916,0.0,0.0,0.0,1.0,0.0,1.125017,0.260582,subgroup:422175682053085315
1,11,Individuals with moderate to severe disease,2,337,2102,167,1466,85.085475,1.112996,0.846131,1.464028,0.049602,8.758144,4.0,0.067437,54.328223,0.7654,0.444034,subgroup:430576730581291636
2,1,Individuals with moderate disease,1,7,63,12,95,25.496838,0.87963,0.366294,2.11237,0.0,0.0,0.0,0.0,100.0,0.286935,0.774162,subgroup:432864140502289933
2,1,Individuals with moderate to severe disease,2,36,223,23,103,74.503162,0.74854,0.361232,1.551115,0.162201,3.203073,2.0,0.201587,37.559971,0.779114,0.435913,subgroup:432864152596041230
2,6,Individuals with moderate to severe disease,1,57,222,31,105,100.0,0.79532,0.5496,1.150897,0.0,1.202275,2.0,0.548188,0.0,1.214586,0.224524,subgroup:432864169280720457
6,1,Antibodies detected at baseline,1,793,3970,667,3553,100.0,1.026657,0.937027,1.12486,0.0,3.781113,4.0,0.436439,0.0,0.564436,0.572458,subgroup:423730423438699170
6,1,No antibodies detected at baseline,2,799,2565,676,2056,100.0,0.907297,0.794904,1.03558,0.005081,4.977255,4.0,0.289639,19.634417,1.441816,0.149354,subgroup:423730429001132707
6,2,Antibodies detected at baseline,1,,3126,,2871,100.0,1.06,0.942099,1.192656,0.0,0.0,0.0,1.0,0.0,0.968551,0.332769,subgroup:430805003651870464
6,2,No antibodies detected at baseline,2,,2146,,1767,100.0,0.834489,0.496659,1.402112,0.086281,1.726428,1.0,0.188868,42.076949,0.683402,0.494353,subgroup:430805004750778116
6,3,Antibodies detected at baseline,1,659,3044,565,2772,49.689296,1.063003,0.961986,1.174629,0.0,0.23552,1.0,0.62746,0.0,1.199259,0.230427,subgroup:430577096959777271
6,3,No antibodies detected at baseline,2,740,1999,674,1657,50.310704,0.906994,0.836029,0.983983,0.0,0.519019,1.0,0.47126,0.0,2.348398,0.018854,subgroup:430577096961874425
6,4,Antibodies detected at baseline,1,2234,3078,2083,2810,56.005557,0.97911,0.949413,1.009736,0.0,0.0,0.0,0.0,100.0,1.343408,0.17914,subgroup:430804698168127104
6,4,No antibodies detected at baseline,2,1167,2016,916,1660,43.994443,1.049042,0.990773,1.110739,0.0,0.0,0.0,1.0,0.0,1.642031,0.100584,subgroup:430804698170224258
7,1,Duration of symptom onset up to and including 7 days,1,614,2498,668,2509,100.0,0.908979,0.403995,2.045181,0.27909,4.081585,2.0,0.129926,50.999433,0.230659,0.817579,subgroup:423730351197579844
