Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,All-cause mortality at up to day 30,,,SUBGROUP_AND_OVERALL,Clemency 2021,2021,0.0,0.0,0.0,0.0,0,197,0.0,0.0,0,203,0.0,0.0,,,,,
1,1,All-cause mortality at up to day 30,,,SUBGROUP_AND_OVERALL,Ramakrishnan 2021,2021,0.0,0.0,0.0,0.0,0,73,0.0,0.0,0,73,0.0,0.0,,,,,
1,1,All-cause mortality at up to day 30,,,SUBGROUP_AND_OVERALL,Yu 2021,2021,0.0,0.0,0.0,0.0,6,787,0.0,0.0,10,799,0.0,0.0,100.0,0.609149,0.222458,1.668008,
1,2,Admission to hospital or death at up to 30 days,,,SUBGROUP_AND_OVERALL,Clemency 2021,2021,0.0,0.0,0.0,0.0,3,197,0.0,0.0,7,203,0.0,0.0,6.06505,0.441624,0.115843,1.68359,
1,2,Admission to hospital or death at up to 30 days,,,SUBGROUP_AND_OVERALL,Yu 2021,2021,0.0,0.0,0.0,0.0,52,787,0.0,0.0,75,838,0.0,0.0,93.93495,0.738263,0.525452,1.037265,
1,3,Symptom resolution: all initial symptoms resolved (asymptomatic) at day 14,,,SUBGROUP_AND_OVERALL,Clemency 2021,2021,0.0,0.0,0.0,0.0,81,197,0.0,0.0,76,203,0.0,0.0,12.460062,1.09825,0.860445,1.401779,
1,3,Symptom resolution: all initial symptoms resolved (asymptomatic) at day 14,,,SUBGROUP_AND_OVERALL,Yu 2021,2021,0.0,0.0,0.0,0.0,462,787,0.0,0.0,390,799,0.0,0.0,87.539938,1.202678,1.096899,1.318658,
1,4,Symptom resolution: mean time to recovery (days),,,SUBGROUP_AND_OVERALL,Ramakrishnan 2021,2021,0.0,0.0,8.0,5.0,0,70,12.0,8.0,0,69,0.0,0.0,0.0,-4.0,-6.221495,-1.778505,
1,5,Symptom resolution: all initial symptoms resolved at up to day 30,,,SUBGROUP_AND_OVERALL,Clemency 2021,2021,0.0,0.0,0.0,0.0,139,197,0.0,0.0,129,203,0.0,0.0,0.0,1.110337,0.967396,1.274399,
1,6,Quality of life at day 28: mean in well-being (WHO-5 Well-Being Questionnaire),,,SUBGROUP_AND_OVERALL,Yu 2021,2021,0.0,0.0,54.6,25.1,0,713,52.0,24.8,0,721,0.0,0.0,0.0,2.6,0.017126,5.182874,
1,7,Serious adverse events,,,SUBGROUP_AND_OVERALL,Yu 2021,2021,0.0,0.0,0.0,0.0,2,787,0.0,0.0,4,799,0.0,0.0,0.0,0.507624,0.093244,2.763527,
1,8,Adverse events,,,SUBGROUP_AND_OVERALL,Clemency 2021,2021,0.0,0.0,0.0,0.0,22,197,0.0,0.0,29,203,0.0,0.0,0.0,0.781726,0.465535,1.312674,
1,9,Infections,,,SUBGROUP_AND_OVERALL,Clemency 2021,2021,0.0,0.0,0.0,0.0,6,197,0.0,0.0,7,203,0.0,0.0,0.0,0.883249,0.302157,2.581864,
