Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,1,All‐cause mortality at day 28,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Gonzalez 2021,2021,0.0,0.0,0.0,0.0,5,36,0.0,0.0,6,37,0.0,0.0,79.463014,0.856481,0.286661,2.558987,"Time point (28 days), participants (WHO 5), intervention (ivermectin 12 mg or 18 mg daily for 5 days), comparator (placebo)",Some concerns,<p>Computer-generated randomization. There was no information on allocation concealment. Baseline details differed between groups. Due to small group sizes and stratification according to QT prolongation the deviations may be caused by chance.</p>,Some concerns,<p>Participants were not aware of the intervention received. No information on those delivering the intervention. No information reported whether there were deviations from the intended interventions or not. 2/108 participants were excluded from analysis due to transfer to another hospital (mITT).</p>,Low risk,<p>Most people were followed up &gt; 95%. 2/108 participants were excluded from analysis due to transfer to another hospital.</p>,Low risk,<p>There was insufficient information on whether the outcome assessors were aware of the intervention received. But knowledge of intervention received could not have affected outcome measurement.</p>,Some concerns,<p>The protocol was prospectively registered and the outcome was registered. The time point of outcome measurement was not defined.</p>,Some concerns,<p>Due to insufficient information on allocation concealment and blinding of healthcare providers. Due to lack of defining the time point of outcome measurement in the protocol.</p>
1,1,All‐cause mortality at day 28,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Kirti 2021,2021,0.0,0.0,0.0,0.0,0,55,0.0,0.0,3,57,0.0,0.0,20.536986,0.147959,0.007819,2.799748,"Time point (28 days), participants (WHO 4 to 5), intervention (ivermectin 12 mg daily for 2 days), comparator (placebo)",Low risk,<p>Randomization was performed by an independent person not part of the investigating team using a computer-based program. There was no baseline imbalance that would suggest a problem with randomization.</p>,Some concerns,"<p>Both participants and those delivering the intervention were not aware of intervention received. 1/57 participants in the intervention group and 1/58 participants in the control group received ivermectin by the treating team. Both participants were excluded (per protocol analysis). The analysis was not appropriate, but it is unlikely to have an impact on the result.</p>",Low risk,<p>Most people were followed up &gt;95%.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Some concerns,<p>Due to inappropriate analysis (per protocol analysis).</p>
1,1,All‐cause mortality at day 28,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Krolewiecki 2021,2021,0.0,0.0,0.0,0.0,0,30,0.0,0.0,0,15,0.0,0.0,,,,,"Time point (30 days), participants (WHO 4 to 5), intervention (ivermectin 0.6 mg/kg/day, 3 mg or 6 mg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. The reason for withdrawals and changing treatments/ withdrawal are consistent with routine care. The analysis was appropriate (ITT).</p>,Low risk,<p>Data for this outcome were available for all randomized participants. </p>,Low risk,<p>Outcome assessors were aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered as part of the AE outcome.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
1,2,Worsening of clinical status at day 28: participants with new need for invasive mechanical ventilation or death,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Gonzalez 2021,2021,0.0,0.0,0.0,0.0,6,36,0.0,0.0,8,37,0.0,0.0,91.567062,0.770833,0.296957,2.000908,"Time point (28 days), participants (WHO 5), intervention (ivermectin 12 mg or 18 mg daily for 5 days), comparator (placebo)",Some concerns,<p>Computer-generated randomization. There was no information on allocation concealment. Baseline details differed between groups. Due to small group sizes and stratification according to QT prolongation the deviations may be caused by chance.</p>,Some concerns,<p>Participants were not aware of the intervention received. No information on those delivering the intervention. No information reported whether there were deviations from the intended interventions or not. The analysis was appropriate (mITT).</p>,Low risk,<p>Most people were followed up &gt; 95%. 2/108 participants were excluded from analysis due to transfer to another hospital.</p>,Low risk,"<p>There was insufficient information on whether the outcome assessors were aware of the intervention received. By following a clinical protocol, knowledge of the intervention received could only minimally affect the outcome measurement.</p>",Some concerns,<p>The protocol was prospectively registered and the outcome was registered. The time point of outcome measurement was not defined.</p>,Some concerns,<p>Due to insufficient information on allocation concealment and blinding of healthcare providers. Due to lack of defining the time point of outcome measurement in the protocol.</p>
1,2,Worsening of clinical status at day 28: participants with new need for invasive mechanical ventilation or death,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Krolewiecki 2021,2021,0.0,0.0,0.0,0.0,1,30,0.0,0.0,0,15,0.0,0.0,8.432938,1.548387,0.066803,35.889386,"Time point (30 days), participants (WHO 4 to 5), intervention (ivermectin 0.6 mg/kg/day, 3 mg or 6 mg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. The reason for withdrawals and changing treatments/withdrawal are consistent with routine care. The analysis was appropriate (ITT).</p>,Low risk,<p>Data for this outcome were available for all randomized participants. <br/> </p>,Low risk,"<p>Outcome assessors were aware of the intervention received. By following a clinical protocol, knowledge of the intervention received could only minimally affect the outcome measurement.</p>",Low risk,<p>The protocol was prospectively registered and the outcome clincial worsening (7 days) and mortality (30 days) were reported as registered. The timepoint clinical worsening at 30 days was not registered but results were described in full detail additionally for the registered overall follow-up of patients. Due to relevance of this outcome data in this context of this trial we did not assume that the results have been selected.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
1,3,Improvement of clinical status at day 28: participants discharged alive,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Gonzalez 2021,2021,0.0,0.0,0.0,0.0,27,36,0.0,0.0,27,37,0.0,0.0,100.0,1.027778,0.782962,1.349142,"Time point (28 days), participants (WHO 5), intervention (ivermectin 12 mg or 18 mg daily for 5 days), comparator (placebo)",Some concerns,<p>Computer-generated randomization. There was no information on allocation concealment. Baseline details differed between groups. Due to small group sizes and stratification according to QT prolongation the deviations may be caused by chance.</p>,Some concerns,<p>Participants were not aware of the intervention received. No information on those delivering the intervention. No information reported whether there were deviations from the intended interventions or not. The analysis was appropriate (mITT).</p>,Low risk,<p>Most people were followed up &gt; 95%. 2/108 participants were excluded from analysis due to transfer to another hospital.</p>,Low risk,"<p>There was insufficient information on whether the outcome assessors were aware of the intervention received. By following a clinical protocol, knowledge of the intervention received could only minimally affect the outcome measurement.</p>",Some concerns,<p>The protocol was prospectively registered. The outcome was not prespecified in the study protocol.</p>,Some concerns,<p>Due to insufficient information on allocation concealment and blinding of healthcare providers. Due to lack of registering the outcome in the protocol.</p>
1,4,Serious adverse events during the study period,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Krolewiecki 2021,2021,0.0,0.0,0.0,0.0,1,30,0.0,0.0,0,15,0.0,0.0,100.0,1.548387,0.066803,35.889386,"Time point (30 days), participants (WHO 4 to 5), intervention (ivermectin 0.6 mg/kg/day, 3 mg or 6 mg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. 2/30 participants in the intervention group withdrew consent due to adverse events and 1/15 participants in the control group was withdrawn due to initiation of lopinavir. The analysis was appropriate (ITT).</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Some concerns,"<p>Outcome assessors were aware of the intervention received. There was insufficient information on definition and measurement of the outcome. Judgement of severity of symptoms could have been influenced by knowledge of the intervention, regarding the results it seems not likely.</p>",Some concerns,<p>The protocol was prospectively registered. The outcome was not prespecified.</p>,Some concerns,"<p>Due to lack of information on definition and measurement of the outcome, lack of blinding of participants, healthcare providers, and outcome assessors, and lack of prospectively registering the outcome.</p>"
1,4,Serious adverse events during the study period,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Mohan 2021,2021,0.0,0.0,0.0,0.0,0,100,0.0,0.0,0,52,0.0,0.0,,,,,"Time point (14 days), participants (WHO 4 to 5 incl. asymptomatic people), intervention (ivermectin 12 mg and 24 mg, single dose), comparator (placebo)",Low risk,<p>Centralized telephone-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Most people were followed up &gt; 95%. Five participants withdrew consent.</p>,Some concerns,<p>Outcome assessors were not aware of the intervention received. There was insufficient information on definition and measurement of the outcome.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Some concerns,<p>Due to insufficient information on outcome definition and measurement of the outcome.</p>
1,5,Any adverse events during the study period,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Krolewiecki 2021,2021,0.0,0.0,0.0,0.0,13,30,0.0,0.0,5,15,0.0,0.0,42.656704,1.3,0.570045,2.964679,"Time point (30 days), participants (WHO 4 to 5), intervention (ivermectin 0.6 mg/kg/day, 3 mg or 6 mg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. The reason for withdrawals and changing treatments/withdrawal are consistent with routine care. The analysis was appropriate (ITT).</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,High risk,<p>Outcome assessors were aware of the intervention received. There was insufficient information on definition and measurement of the outcome. Knowledge of intervention received could have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,High risk,<p>Due to lack of information on definition and measurement of the outcome and lack of blinding of outcome assessors.</p>
1,5,Any adverse events during the study period,Moderate disease (WHO 4 to 5),SUBGROUP_AND_OVERALL,Mohan 2021,2021,0.0,0.0,0.0,0.0,14,100,0.0,0.0,6,52,0.0,0.0,36.133266,1.213333,0.495412,2.971623,"Time point (14 days), participants (WHO 4 to 5 incl. asymptomatic people), intervention (ivermectin 12 mg and 24 mg, single dose, oral), comparator (placebo)",Low risk,<p>Centralized telephone-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Most people were followed up &gt; 95%. Five participants withdrew consent.</p>,Some concerns,<p>Outcome assessors were not aware of the intervention received. There was insufficient information on definition and measurement of the outcome.</p>,Some concerns,<p>The protocol was prospectively registered. The outcome was not prespecified.</p>,Some concerns,"<p>Due to insufficient information on outcome definition and measurement of the outcome, and lack of prospectively registering the outcome.</p>"
