Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Subgroup estimates,Overall estimates,Test for subgroup differences,Swap event and non-event,Study CI,Estimate CI,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,All‐cause mortality at day 28,Ivermectin for treating COVID-19 in inpatient settings with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,5,121,9,109,0.597184,0.142032,2.510902,0.363836,1.283972,1,0.257162,22.11666,0.703552,0.481712,0.0,0,1.0,0.0,analysis:430457654786968305
1,2,Worsening of clinical status at day 28: participants with new need for invasive mechanical ventilation or death,Ivermectin for treating COVID-19 in inpatient settings with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,7,66,8,52,0.817533,0.328164,2.036667,0.0,0.174406,1,0.676226,0.0,0.432593,0.665311,0.0,0,1.0,0.0,analysis:430457654437530052
1,3,Improvement of clinical status at day 28: participants discharged alive,Ivermectin for treating COVID-19 in inpatient settings with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,27,36,27,37,1.027778,0.782962,1.349142,0.0,0.0,0,1.0,0.0,0.197379,0.843531,0.0,0,1.0,0.0,analysis:430457654603467345
1,4,Serious adverse events during the study period,Ivermectin for treating COVID-19 in inpatient settings with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,1,130,0,67,1.548387,0.066803,35.889386,0.0,0.0,0,1.0,0.0,0.272625,0.785141,0.0,0,1.0,0.0,analysis:430457654904933184
1,5,Any adverse events during the study period,Ivermectin for treating COVID-19 in inpatient settings with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,34,157,13,71,1.0434,0.608991,1.787682,0.0,1.809006,2,0.404743,0.0,0.154647,0.8771,0.0,0,1.0,0.0,analysis:430457654846475027
1,6,Viral clearance at day 3,Ivermectin for treating COVID-19 in inpatient settings with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,10,80,7,45,0.803571,0.328618,1.964979,0.0,0.0,0,1.0,0.0,0.479352,0.631688,0.0,0,1.0,0.0,analysis:430457654363605387
1,7,Viral clearance at day 7,Ivermectin for treating COVID-19 in inpatient settings with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,63,139,34,92,1.122766,0.798073,1.579559,0.0,0.783576,2,0.675848,0.0,0.664874,0.506131,0.0,0,1.0,0.0,analysis:430457655022111642
2,1,All‐cause mortality at day 28,Ivermectin for treating COVID-19 in outpatient settings with asymptomatic or mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,28,1440,38,1420,0.769169,0.471567,1.254584,0.0,2.955167,3,0.39859,0.0,1.051372,0.293088,,,,,analysis:430459238707160707
2,2,Worsening of clinical status within 28 days: admission to hospital or death,Ivermectin for treating COVID-19 in outpatient settings with asymptomatic or mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,18,308,21,282,1.092992,0.198544,6.016966,0.89445,1.782859,1,0.181799,43.910319,0.102176,0.918617,,,,,analysis:430459238751987364
2,3,Worsening of clinical status within 28 days: participants with need for ICU admission or death,Ivermectin for treating COVID-19 in outpatient settings with asymptomatic or mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,8,241,13,249,0.635812,0.268317,1.506642,0.0,0.0,0,0.0,100.0,1.02879,0.303578,,,,,analysis:430460645002250596
2,4,Symptom resolution: all initial symptoms resolved (asymptomatic) at day 14,Ivermectin for treating COVID-19 in outpatient settings with asymptomatic or mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,143,253,133,225,0.902889,0.600076,1.358508,0.057365,2.333118,1,0.126648,57.138911,0.490088,0.624072,,,,,analysis:430459238805726936
2,5,Symptom resolution: all initial symptoms resolved (asymptomatic) at day 28,Ivermectin for treating COVID-19 in outpatient settings with asymptomatic or mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,204,253,177,225,1.031465,0.942012,1.129413,0.0,0.256767,1,0.61235,0.0,0.669332,0.503284,,,,,analysis:430460803442084401
2,6,Quality of life (physical component) at up to 28 days,Ivermectin for treating COVID-19 in outpatient settings with asymptomatic or mild disease,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,679,,679,0.0,-0.977815,0.977815,0.0,0.0,0,1.0,0.0,0.0,1.0,,,,,analysis:432930280498372456
2,7,Quality of life (mental component) at up to 28 days,Ivermectin for treating COVID-19 in outpatient settings with asymptomatic or mild disease,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,679,,679,0.0,-1.080712,1.080712,0.0,0.0,0,1.0,0.0,0.0,1.0,,,,,analysis:432930436411925366
