Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,All-cause mortality up to day 28,,,SUBGROUP_AND_OVERALL,Cao 2020,2020,0.0,0.0,0.0,0.0,0,20,0.0,0.0,3,21,0.0,0.0,0.652719,0.14966,0.008216,2.726012,
1,1,All-cause mortality up to day 28,,,SUBGROUP_AND_OVERALL,Ely 2022,2022,0.0,0.0,0.0,0.0,20,51,0.0,0.0,29,50,0.0,0.0,18.213861,0.676133,0.446391,1.024113,
1,1,All-cause mortality up to day 28,,,SUBGROUP_AND_OVERALL,Guimarães 2021,2021,0.0,0.0,0.0,0.0,4,144,0.0,0.0,8,145,0.0,0.0,3.670655,0.503472,0.155036,1.635001,
1,1,All-cause mortality up to day 28,,,SUBGROUP_AND_OVERALL,Horby 2022,2022,0.0,0.0,0.0,0.0,513,4148,0.0,0.0,546,4008,0.0,0.0,38.018566,0.907849,0.811313,1.015872,
1,1,All-cause mortality up to day 28,,,SUBGROUP_AND_OVERALL,Kalil 2021,2021,0.0,0.0,0.0,0.0,24,515,0.0,0.0,37,518,0.0,0.0,14.572655,0.652427,0.39611,1.074604,
1,1,All-cause mortality up to day 28,,,SUBGROUP_AND_OVERALL,Marconi 2021,2021,0.0,0.0,0.0,0.0,62,764,0.0,0.0,100,761,0.0,0.0,24.871544,0.617565,0.457277,0.834039,
1,2,All-cause mortality up to day 60,,,SUBGROUP_AND_OVERALL,Ely 2022,2022,0.0,0.0,0.0,0.0,23,51,0.0,0.0,31,50,0.0,0.0,34.053386,0.727388,0.501157,1.055743,
1,2,All-cause mortality up to day 60,,,SUBGROUP_AND_OVERALL,Marconi 2021,2021,0.0,0.0,0.0,0.0,79,764,0.0,0.0,116,761,0.0,0.0,65.946614,0.67836,0.519036,0.886591,
1,3,All-cause mortality within 28 days (time to event),,,SUBGROUP_AND_OVERALL,Ely 2022,2022,-0.616186,0.288363,0.0,0.0,0,51,0.0,0.0,0,50,0.0,0.0,15.745375,0.54,0.306859,0.950274,
1,3,All-cause mortality within 28 days (time to event),,,SUBGROUP_AND_OVERALL,Guimarães 2021,2021,-0.71335,0.608608,0.0,0.0,0,144,0.0,0.0,0,145,0.0,0.0,5.221015,0.49,0.148644,1.615266,
1,3,All-cause mortality within 28 days (time to event),,,SUBGROUP_AND_OVERALL,Horby 2022,2022,-0.105361,0.061977,0.0,0.0,0,4148,0.0,0.0,0,4008,0.0,0.0,35.508083,0.9,0.797053,1.016242,
1,3,All-cause mortality within 28 days (time to event),,,SUBGROUP_AND_OVERALL,Kalil 2021,2021,-0.430783,0.262195,0.0,0.0,0,515,0.0,0.0,0,518,0.0,0.0,17.516281,0.65,0.388806,1.086661,
1,3,All-cause mortality within 28 days (time to event),,,SUBGROUP_AND_OVERALL,Marconi 2021,2021,-0.562119,0.164069,0.0,0.0,0,764,0.0,0.0,0,761,0.0,0.0,26.009246,0.57,0.413256,0.786196,
1,4,All-cause mortality within 60 days (time to event),,,SUBGROUP_AND_OVERALL,Ely 2022,2022,-0.579818,0.275057,0.0,0.0,0,51,0.0,0.0,0,50,0.0,0.0,21.76477,0.56,0.326632,0.960102,
1,4,All-cause mortality within 60 days (time to event),,,SUBGROUP_AND_OVERALL,Marconi 2021,2021,-0.478036,0.145077,0.0,0.0,0,764,0.0,0.0,0,761,0.0,0.0,78.23523,0.62,0.466554,0.823913,
1,5,Improvement in clinical status: discharged alive (up to day 28),,,SUBGROUP_AND_OVERALL,Ely 2022,2022,0.0,0.0,0.0,0.0,19,51,0.0,0.0,13,50,0.0,0.0,0.28849,1.432881,0.796022,2.57926,
1,5,Improvement in clinical status: discharged alive (up to day 28),,,SUBGROUP_AND_OVERALL,Horby 2022,2022,0.0,0.0,0.0,0.0,3337,4148,0.0,0.0,3137,4008,0.0,0.0,54.932186,1.027852,1.005323,1.050887,
1,5,Improvement in clinical status: discharged alive (up to day 28),,,SUBGROUP_AND_OVERALL,Kalil 2021,2021,0.0,0.0,0.0,0.0,433,515,0.0,0.0,406,518,0.0,0.0,20.895703,1.072715,1.01145,1.137691,
1,5,Improvement in clinical status: discharged alive (up to day 28),,,SUBGROUP_AND_OVERALL,Marconi 2021,2021,0.0,0.0,0.0,0.0,591,758,0.0,0.0,589,754,0.0,0.0,23.883621,0.998101,0.946132,1.052924,
1,6,Worsening of clinical status: new need for invasive mechanical ventilation or death at day 28,,,SUBGROUP_AND_OVERALL,Horby 2022,2022,0.0,0.0,0.0,0.0,631,4014,0.0,0.0,670,3891,0.0,0.0,85.235823,0.912932,0.826564,1.008324,
1,6,Worsening of clinical status: new need for invasive mechanical ventilation or death at day 28,,,SUBGROUP_AND_OVERALL,Marconi 2021,2021,0.0,0.0,0.0,0.0,104,758,0.0,0.0,127,754,0.0,0.0,14.764177,0.814576,0.641542,1.03428,
1,7,Adverse events (any grade),,,SUBGROUP_AND_OVERALL,Ely 2022,2022,0.0,0.0,0.0,0.0,44,50,0.0,0.0,47,49,0.0,0.0,45.973539,0.917447,0.815717,1.031864,
