Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,All-cause mortality up to day 28,Systemic JAK inhibitors versus standard of care alone (plus/minus placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,JAK inhibitors,Standard of care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,623,5642,723,5503,0.720556,0.56889,0.912656,,,0.034954,,,9.976785,5,0.075896,49.883653,2.717922,,0.006569,,,,,analysis:461017640213682420
1,2,All-cause mortality up to day 60,Systemic JAK inhibitors versus standard of care alone (plus/minus placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,JAK inhibitors,Standard of care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,102,815,147,811,0.694673,0.558941,0.863366,,,0.0,,,0.094815,1,0.758143,0.0,3.284511,,0.001022,,,,,analysis:461017640214206715
1,3,All-cause mortality within 28 days (time to event),Systemic JAK inhibitors versus standard of care alone (plus/minus placebo),Custom input,"#N/A",Contrast level,true,,,,,,,JAK inhibitors,Standard of care (plus/minus placebo),IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,5622,,5482,0.674802,0.503122,0.905063,,,0.059348,,,10.765999,4,0.029324,62.845994,2.625898,,0.008642,,,,,analysis:461017640214206718
1,4,All-cause mortality within 60 days (time to event),Systemic JAK inhibitors versus standard of care alone (plus/minus placebo),Custom input,"#N/A",Contrast level,true,,,,,,,JAK inhibitors,Standard of care (plus/minus placebo),IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,815,,811,0.606416,0.471567,0.779827,,,0.0,,,0.107127,1,0.743439,0.0,3.89793,,9.7E-5,,,,,analysis:461017640214731012
1,5,Improvement in clinical status: discharged alive (up to day 28),Systemic JAK inhibitors versus standard of care alone (plus/minus placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,JAK inhibitors,Standard of care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,4380,5472,4145,5330,1.030806,0.998709,1.063935,,,3.46E-4,,,4.400723,3,0.221319,31.829377,1.87994,,0.060116,,,,,analysis:461017640214993159
1,6,Worsening of clinical status: new need for invasive mechanical ventilation or death at day 28,Systemic JAK inhibitors versus standard of care alone (plus/minus placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,JAK inhibitors,Standard of care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,735,4772,797,4645,0.897696,0.818994,0.98396,,,0.0,,,0.746203,1,0.387681,0.0,2.305367,,0.021146,,,,,analysis:461017640215517452
1,7,Adverse events (any grade),Systemic JAK inhibitors versus standard of care alone (plus/minus placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,JAK inhibitors,Standard of care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,415,942,413,943,0.970602,0.876292,1.075064,,,0.002321,,,2.74648,2,0.253285,27.179519,0.572129,,0.567234,,,,,analysis:461017640215517455
1,8,Adverse events grade 3 and 4,Systemic JAK inhibitors versus standard of care alone (plus/minus placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,JAK inhibitors,Standard of care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,207,508,238,509,0.87146,0.75764,1.00238,,,0.0,,,0.0,0,1.0,0.0,1.926682,,0.054019,,,,,analysis:461017640216041747
1,9,Serious adverse events,Systemic JAK inhibitors versus standard of care alone (plus/minus placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,JAK inhibitors,Standard of care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,236,1449,294,1452,0.790706,0.681724,0.917109,,,0.0,,,2.400951,3,0.493458,0.0,3.103537,,0.001912,,,,,analysis:461017640216041749
1,10,Secondary infection,Systemic JAK inhibitors versus standard of care alone (plus/minus placebo),Custom input,"#N/A",Dichotomous,true,,,,,,,JAK inhibitors,Standard of care (plus/minus placebo),MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,564,5090,559,4951,0.983425,0.886432,1.09103,,,0.0,,,0.080553,3,0.994064,0.0,0.315491,,0.752389,,,,,analysis:461017640216303898
