Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,11,Anaemia,1,27,649,37,651,100.0,0.735256,0.452797,1.193915,0.0,,,0.350367,1,0.553906,0.0,1.243385,,0.213726,subgroup:461017640216828192
1,11,Lymphocytopenia,2,15,649,25,651,100.0,0.792685,0.208526,3.013297,0.585204,,,2.350941,1,0.125208,57.463832,0.340998,,0.733105,subgroup:461017640216828195
1,11,Intestinal perforation,3,0,750,0,752,,,,,,,,,,,,,,,subgroup:461017640217090342
2,1,Baricitinib,1,619,5478,712,5337,95.676626,0.737937,0.578653,0.941067,0.035637,,,7.886519,3,0.048416,61.960406,2.449569,,0.014303,subgroup:461017640217352490
2,1,Tofacitinib,2,4,144,8,145,3.670655,0.503472,0.155036,1.635001,0.0,,,0.0,0,1.0,0.0,1.141875,,0.253506,subgroup:461017640217614639
2,1,Ruxolitinib,3,0,20,3,21,0.652719,0.14966,0.008216,2.726012,0.0,,,0.0,0,1.0,0.0,1.282716,,0.199592,subgroup:461017640217614641
3,1,No oxygen at baseline,1,16,421,24,443,3.691385,0.729032,0.395028,1.345442,0.0,,,1.114116,2,0.572892,0.0,1.010873,,0.312077,subgroup:461017640217876789
3,1,Low-flow oxygen at baseline,2,293,3639,312,3581,37.170637,0.761599,0.517068,1.121773,0.070327,,,5.97714,3,0.112728,49.808769,1.378367,,0.16809,subgroup:461017640218138938
3,1,NIV or HFNO at baseline,3,244,1321,299,1229,39.245192,0.754856,0.64976,0.876951,0.0,,,2.183547,3,0.535196,0.0,3.676505,,2.36E-4,subgroup:461017640218663231
3,1,IMV or ECMO at baseline,4,70,239,85,224,19.892786,0.755877,0.58716,0.973075,0.0,,,1.146628,2,0.563655,0.0,2.171761,,0.029874,subgroup:461017640218925380
