Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Overall survival by PD-L1 expression,PD-L1 TPS <1%,1,SUBGROUP_AND_OVERALL,Rizvi 2020,,0.1655,0.1585,0.0,0.0,0,95,0.0,0.0,0,83,0.0,0.0,100.0,1.179983,0.864889,1.609871,
1,1,Overall survival by PD-L1 expression,PD-L1 TPS≥1%,2,SUBGROUP_AND_OVERALL,Carbone 2017,,0.077,0.1103,0.0,0.0,0,271,0.0,0.0,0,270,0.0,0.0,21.819909,1.080042,0.870068,1.340689,
1,1,Overall survival by PD-L1 expression,PD-L1 TPS≥1%,2,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.1863,0.1296,0.0,0.0,0,277,0.0,0.0,0,277,0.0,0.0,17.484921,0.830025,0.643836,1.070056,
1,1,Overall survival by PD-L1 expression,PD-L1 TPS≥1%,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.2107,0.0705,0.0,0.0,0,637,0.0,0.0,0,637,0.0,0.0,35.497826,0.810017,0.70548,0.930045,
1,1,Overall survival by PD-L1 expression,PD-L1 TPS≥1%,2,SUBGROUP_AND_OVERALL,Rizvi 2020,,-0.1278,0.0983,0.0,0.0,0,279,0.0,0.0,0,289,0.0,0.0,25.197344,0.880029,0.725812,1.067014,
1,1,Overall survival by PD-L1 expression,PD-L1 TPS ≥50%,3,SUBGROUP_AND_OVERALL,Carbone 2017,,-0.1054,0.1837,0.0,0.0,0,88,0.0,0.0,0,126,0.0,0.0,10.661391,0.899964,0.627855,1.290004,
1,1,Overall survival by PD-L1 expression,PD-L1 TPS ≥50%,3,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.5276,0.2097,0.0,0.0,0,107,0.0,0.0,0,98,0.0,0.0,8.197278,0.590019,0.391173,0.889945,
1,1,Overall survival by PD-L1 expression,PD-L1 TPS ≥50%,3,SUBGROUP_AND_OVERALL,Mok 2019,,-0.3711,0.1064,0.0,0.0,0,299,0.0,0.0,0,300,0.0,0.0,31.268569,0.689975,0.5601,0.849965,
1,1,Overall survival by PD-L1 expression,PD-L1 TPS ≥50%,3,SUBGROUP_AND_OVERALL,Reck 2016,,-0.478,0.1306,0.0,0.0,0,154,0.0,0.0,0,151,0.0,0.0,20.924423,0.620022,0.479999,0.800892,
1,1,Overall survival by PD-L1 expression,PD-L1 TPS ≥50%,3,SUBGROUP_AND_OVERALL,Rizvi 2020,,-0.2744,0.1591,0.0,0.0,0,118,0.0,0.0,0,107,0.0,0.0,14.174235,0.760028,0.556421,1.03814,
1,1,Overall survival by PD-L1 expression,PD-L1 TPS ≥50%,3,SUBGROUP_AND_OVERALL,Sezer 2020,2017,-0.5621,0.1558,0.0,0.0,0,283,0.0,0.0,0,280,0.0,0.0,14.774104,0.570011,0.420016,0.773571,
1,2,Overall Survival by Tumor Mutational Burden,Tumor Mutational Burden low,1,SUBGROUP_AND_OVERALL,Carbone 2017,,-0.0101,0.1768,0.0,0.0,0,111,0.0,0.0,0,94,0.0,0.0,12.157249,0.989951,0.700037,1.399929,
1,2,Overall Survival by Tumor Mutational Burden,Tumor Mutational Burden low,1,SUBGROUP_AND_OVERALL,Herbst 2020,,0.0198,0.1579,0.0,0.0,0,333,0.0,0.0,0,0,0.0,0.0,13.674992,1.019997,0.748504,1.389965,
1,2,Overall Survival by Tumor Mutational Burden,Tumor Mutational Burden low,1,SUBGROUP_AND_OVERALL,Mok 2019,,0.0862,0.1129,0.0,0.0,0,234,0.0,0.0,0,214,0.0,0.0,18.005144,1.090024,0.873646,1.359994,
1,2,Overall Survival by Tumor Mutational Burden,Tumor Mutational Burden low,1,SUBGROUP_AND_OVERALL,Rizvi 2020,,-0.0726,0.1128,0.0,0.0,0,209,0.0,0.0,0,185,0.0,0.0,18.015709,0.929973,0.745512,1.160074,
1,2,Overall Survival by Tumor Mutational Burden,Tumor Mutational Burden high,2,SUBGROUP_AND_OVERALL,Carbone 2017,,0.0953,0.2735,0.0,0.0,0,47,0.0,0.0,0,60,0.0,0.0,6.891943,1.099989,0.643553,1.880147,
1,2,Overall Survival by Tumor Mutational Burden,Tumor Mutational Burden high,2,SUBGROUP_AND_OVERALL,Herbst 2020,,-0.2614,0.3858,0.0,0.0,0,56,0.0,0.0,0,0,0.0,0.0,3.969064,0.769973,0.361478,1.640095,
1,2,Overall Survival by Tumor Mutational Burden,Tumor Mutational Burden high,2,SUBGROUP_AND_OVERALL,Mok 2019,,-0.478,0.13,0.0,0.0,0,180,0.0,0.0,0,165,0.0,0.0,16.25117,0.620022,0.480564,0.799951,
1,2,Overall Survival by Tumor Mutational Burden,Tumor Mutational Burden high,2,SUBGROUP_AND_OVERALL,Rizvi 2020,,-0.3285,0.1925,0.0,0.0,0,77,0.0,0.0,0,70,0.0,0.0,11.034729,0.720003,0.493717,1.050003,
1,3,Overall survival by age (PDL1≥ 1%),Age <65 years,1,SUBGROUP_AND_OVERALL,Carbone 2017,,0.1222,0.1579,0.0,0.0,0,148,0.0,0.0,0,133,0.0,0.0,18.151377,1.12998,0.829213,1.53984,
1,3,Overall survival by age (PDL1≥ 1%),Age <65 years,1,SUBGROUP_AND_OVERALL,Mok 2019,,-0.2107,0.0972,0.0,0.0,0,359,0.0,0.0,0,348,0.0,0.0,33.113414,0.810017,0.66951,0.980011,
1,3,Overall survival by age (PDL1≥ 1%),Age ≥65 years,2,SUBGROUP_AND_OVERALL,Carbone 2017,,0.0392,0.1553,0.0,0.0,0,123,0.0,0.0,0,137,0.0,0.0,18.593189,1.039978,0.767066,1.40999,
