Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Overall survival by PD-L1 expression,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Favours [immunotherapy],Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,16.312275,2,2.87E-4,87.739294,analysis:460563895226547441
1,2,Overall Survival by Tumor Mutational Burden,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,1247,,788,0.892422,0.75808,1.050572,,,0.025738,,,14.142209,7,0.048709,50.502781,1.367296,,0.171533,6.390013,1,0.011476,84.350578,analysis:460563895227858176
1,3,Overall survival by age (PDL1≥ 1%),Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,908,,907,0.904718,0.775138,1.055959,,,0.009337,,,4.819529,3,0.185499,37.753258,1.26959,,0.204231,0.037702,1,0.846043,0.0,analysis:460563895228644619
1,4,Overall survival by age (PDL1 ≥50%),Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,512,,494,0.665232,0.561632,0.787941,,,0.0,,,2.886108,4,0.577062,0.0,4.719299,,2.0E-6,1.059871,1,0.303245,5.648855,analysis:460563895229168914
1,5,Overall survival by sex (PDL1≥ 1%),Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,908,,907,0.895312,0.777977,1.030343,,,0.004926,,,3.900398,3,0.272422,23.084772,1.5429,,0.122855,0.777059,1,0.378042,0.0,analysis:460563895229693210
1,6,Overall survival by sex (PDL1≥50%),Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,560,,548,0.676177,0.576581,0.792976,,,0.0,,,3.897633,5,0.564247,0.0,4.813231,,1.0E-6,2.173772,1,0.140382,53.997008,analysis:460563895230217505
1,7,Overall survival by smoking status (PDL1≥ 1%),Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,905,,903,0.924579,0.775799,1.10189,,,0.019837,,,8.949569,5,0.111093,44.131389,0.876034,,0.381012,0.308392,2,0.857104,0.0,analysis:460563895230741802
1,8,Overall survival by smoking status (PDL1≥ 50%),Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,643,,466,0.696062,0.561105,0.86348,,,0.029316,,,11.319035,8,0.184269,29.322595,3.294767,,9.85E-4,8.272306,2,0.015984,75.822945,analysis:460563895231528244
1,9,Overall survival by ECOG PS (PDL1≥ 1%),Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,907,,907,0.890961,0.772095,1.028128,,,0.0045,,,3.747551,3,0.290046,19.947725,1.580277,,0.114043,6.19E-4,1,0.980158,0.0,analysis:460563895233363265
1,10,Overall survival by ECOG PS (PDL1≥ 50%),Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,559,,549,0.64838,0.547948,0.767219,,,0.0,,,3.49276,5,0.624483,0.0,5.045934,,0.0,0.404219,1,0.524919,0.0,analysis:460563895233887560
1,11,Overall survival by histological type (PDL1≥ 1%),Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,908,,907,0.885227,0.733287,1.068649,,,0.019978,,,6.837625,3,0.077257,56.125118,1.268894,,0.204479,1.998677,1,0.157437,49.966906,analysis:460563895234411857
1,12,Overall survival by histological type (PDL1≥ 50%),Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,560,,549,0.659127,0.561699,0.773453,,,0.0,,,4.888995,5,0.429577,0.0,5.107812,,0.0,1.082396,1,0.298163,7.612341,analysis:460563895234936152
1,13,Progression free survival by PD-L1 expression,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,4.819249,1,0.028144,79.249881,analysis:460563895235722593
1,14,Progression Free Survival by Tumor Mutational Burden,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,1247,,788,0.965695,0.764307,1.220147,,,0.084227,,,34.22773,7,1.6E-5,79.548746,0.292531,,0.76988,14.472995,1,1.42E-4,93.09058,analysis:460563895237033325
1,15,Overall response rate by PDL1 expression,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Dichotomous,true,,,,,,,Immunotherapy,Chemotherapy,IV,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,6.5008,1,0.010783,84.617278,analysis:460563895238081912
1,16,Overall Response Rate by Tumor Mutational Burden,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Dichotomous,true,,,,,,,Immunotherapy,Chemotherapy,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,219,858,220,788,0.965419,0.733232,1.271131,,,0.073303,,,13.830497,5,0.016723,63.84801,0.250734,,0.80202,10.795606,1,0.001017,90.736972,analysis:460563895239130497
1,17,Adverse Events grade 3-5,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Dichotomous,true,,,,,,,Immunotherapy,Chemotherapy,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,302,3406,704,3286,0.430113,0.357394,0.517628,,,0.02873,,,15.270669,9,0.083765,41.063485,8.928496,,0.0,4.082244,1,0.043336,75.503671,analysis:460563895239916938
1,18,QOL-C30 GHS/QOL - change from baseline to week 15,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Continuous,false,,,,,,,Checkpoints,Chemotherapy,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460563895241227671
1,19,Time to deterioration - QLQ-LC13,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Checkpoint,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460563895241489817
1,20,HRQoL-QLQC30-change from baseline at week 15-stable-PD-L1≥50%,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Dichotomous,true,,,,,,,Immunotherapy,Chemotherapy,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460563895241751963
1,21,HRQoL-QLQC30-change from baseline at week 15 -deterioration - PDL1≥50%,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Dichotomous,true,,,,,,,Immunotherapy,Chemotherapy,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460563895244635578
1,22,HRQoL-QLQC30-change from baseline at week 15 -improvement - PD-L1≥50%,Single immunecheckpoint inhibitors vs chemotherapy,Custom input,"#N/A",Dichotomous,true,,,,,,,Immunotherapy,Chemotherapy,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:460563895247781337
2,1,Overall Survival by PD-L1 expression,Combined immune checkpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,3.554841,2,0.169074,43.738697,analysis:460563895250664953
2,2,Overall Survival by Tumor Mutational Burden,Combined immune checkpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,598,,604,0.753541,0.540816,1.04994,,,0.092698,,,17.452747,3,5.7E-4,82.810729,1.672012,,0.094522,2.721415,1,0.09901,63.254415,analysis:460563895251451395
2,3,Progression Free Survival by Tumor Mutational Burden,Combined immune checkpoint inhibitors vs chemotherapy,Custom input,"#N/A",Contrast level,true,,,,,,,Immunotherapy,Chemotherapy,IV,Hazard Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,598,,604,0.863707,0.533659,1.397879,,,0.216381,,,33.632181,3,0.0,91.079972,0.596448,,0.550876,13.294604,1,2.66E-4,92.478151,analysis:460563895252237834
2,4,Overall Response Rate by Tumor Mutational Burden,Combined immune checkpoint inhibitors vs chemotherapy,Custom input,"#N/A",Dichotomous,true,,,,,,,Immunotherapy,Chemotherapy,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,128,407,116,415,1.254399,0.531955,2.957986,,,0.531611,,,28.719649,2,1.0E-6,93.036127,0.517849,,0.604563,27.650975,1,0.0,96.383491,analysis:460563895253024273
2,5,Adverse Events grade 3-5,Combined immune checkpoint inhibitors vs chemotherapy,Custom input,"#N/A",Dichotomous,true,,,,,,,Immunotherapy,Chemotherapy,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,282,1894,330,1844,0.843334,0.619514,1.148017,,,0.045439,,,7.440945,3,0.059095,59.68254,1.082789,,0.278902,2.070332,1,0.150189,51.698559,analysis:460563895253548567
