Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,1,PD-L1 TPS <1%,1,,95,,83,100.0,1.179983,0.864889,1.609871,0.0,,,0.0,0,1.0,0.0,1.044164,,0.29641,subgroup:460563895226547442
1,1,PD-L1 TPS≥1%,2,,1464,,1473,100.0,0.884468,0.780451,1.002348,0.006509,,,5.00918,3,0.171126,40.109961,1.92323,,0.054451,subgroup:460563895226809588
1,1,PD-L1 TPS ≥50%,3,,1049,,1062,100.0,0.675379,0.600177,0.760003,2.81E-4,,,5.06269,5,0.408278,1.238282,6.516346,,0.0,subgroup:460563895227333881
1,2,Tumor Mutational Burden low,1,,887,,493,61.853095,1.00669,0.884433,1.145848,0.0,,,1.005987,3,0.799803,0.0,0.100934,,0.919603,subgroup:460563895227858177
1,2,Tumor Mutational Burden high,2,,360,,295,38.146905,0.719532,0.574038,0.901902,0.010628,,,3.683698,3,0.297707,18.560106,2.855758,,0.004293,subgroup:460563895228120326
1,3,Age <65 years,1,,507,,481,51.264791,0.934721,0.676689,1.291144,0.038221,,,3.223432,1,0.072591,68.977168,0.409588,,0.682108,subgroup:460563895228644620
1,3,Age ≥65 years,2,,401,,426,48.735209,0.898873,0.716425,1.127784,0.010542,,,1.59528,1,0.206573,37.315095,0.921058,,0.35702,subgroup:460563895228906767
1,4,Age <65 years,1,,303,,268,56.51153,0.719201,0.574182,0.900846,0.0,,,1.69573,2,0.428329,0.0,2.868781,,0.004121,subgroup:460563895229168915
1,4,Age ≥65 years,2,,209,,226,43.48847,0.601106,0.465012,0.77703,0.0,,,0.130508,1,0.717906,0.0,3.886097,,1.02E-4,subgroup:460563895229431063
1,5,Male,1,,634,,600,66.119593,0.856221,0.714937,1.025426,0.0062,,,1.502137,1,0.220343,33.428172,1.687081,,0.091588,subgroup:460563895229693211
1,5,Female,2,,274,,307,33.880407,0.981405,0.768926,1.252599,0.00556,,,1.203781,1,0.272567,16.92844,0.150776,,0.880152,subgroup:460563895229955358
1,6,Male,1,,376,,369,69.067937,0.624057,0.515179,0.755945,0.0,,,1.14335,2,0.564579,0.0,4.820133,,1.0E-6,subgroup:460563895230217506
1,6,Female,2,,184,,179,30.932063,0.808809,0.607327,1.077133,0.0,,,0.580511,2,0.748073,0.0,1.451648,,0.1466,subgroup:460563895230479654
1,7,Never smoked,1,,172,,169,23.963476,1.003903,0.757134,1.331101,0.0,,,0.002991,1,0.956389,0.0,0.027065,,0.978408,subgroup:460563895230741803
1,7,Former smoker,2,,556,,533,48.619557,0.871452,0.572751,1.325932,0.078278,,,6.749991,1,0.009375,85.185165,0.642538,,0.520524,subgroup:460563895231003950
1,7,Current smokers,3,,177,,201,27.416967,0.975866,0.751176,1.267764,0.0,,,0.110381,1,0.739711,0.0,0.182976,,0.854817,subgroup:460563895231266097
1,8,Never smoked,1,,78,,101,18.875137,1.18029,0.777522,1.791698,0.0,,,0.801645,2,0.669769,0.0,0.778344,,0.436366,subgroup:460563895231528245
1,8,Former smoker,2,,425,,275,55.098941,0.596795,0.485367,0.733803,0.0,,,0.005527,2,0.99724,0.0,4.895301,,1.0E-6,subgroup:460563895232838969
1,8,Current smokers,3,,140,,90,26.025922,0.653715,0.439914,0.971425,0.014927,,,2.250915,2,0.324504,11.147228,2.103421,,0.035429,subgroup:460563895233101117
1,9,ECOG PS 0,1,,283,,285,29.519981,0.903118,0.632906,1.288694,0.033317,,,1.991946,1,0.158138,49.79784,0.561763,,0.574278,subgroup:460563895233363266
1,9,ECOG PS 1,2,,624,,622,70.480019,0.898475,0.73818,1.093577,0.009141,,,1.755605,1,0.185174,43.039573,1.067765,,0.285626,subgroup:460563895233625413
1,10,ECOG PS 0,1,,185,,182,30.283359,0.596837,0.43958,0.810352,0.0,,,1.686409,2,0.43033,0.0,3.307649,,9.41E-4,subgroup:460563895233887561
1,10,ECOG PS 1,2,,374,,367,69.716641,0.672133,0.549438,0.822228,0.0,,,1.402133,2,0.496056,0.0,3.863305,,1.12E-4,subgroup:460563895234149709
1,11,Squamous,1,,308,,313,43.126363,0.764378,0.631539,0.925159,0.0,,,0.140634,1,0.707652,0.0,2.758612,,0.005805,subgroup:460563895234411858
