Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Mortality at 6 months (main analysis),,,SUBGROUP_AND_OVERALL,Chahinian 1989,1989,0.0,0.0,0.0,0.0,28,100,0.0,0.0,33,84,0.0,0.0,20.657497,0.712727,0.472221,1.075725,
1,1,Mortality at 6 months (main analysis),,,SUBGROUP_AND_OVERALL,Maurer 1997,1997,0.0,0.0,0.0,0.0,12,176,0.0,0.0,12,168,0.0,0.0,6.12784,0.954545,0.441208,2.065143,
1,1,Mortality at 6 months (main analysis),,,SUBGROUP_AND_OVERALL,Zacharski 1984,1984,0.0,0.0,0.0,0.0,100,210,0.0,0.0,99,208,0.0,0.0,73.214663,1.000481,0.818194,1.22338,
1,2,Mortality at 6 months (subgroup analysis-lung cancer),Lung cancer (small cell and non-small cell),1,SUBGROUP_AND_OVERALL,Chahinian 1989,1989,0.0,0.0,0.0,0.0,28,100,0.0,0.0,33,84,0.0,0.0,20.56977,0.712727,0.472221,1.075725,
1,2,Mortality at 6 months (subgroup analysis-lung cancer),Lung cancer (small cell and non-small cell),1,SUBGROUP_AND_OVERALL,Maurer 1997,1997,0.0,0.0,0.0,0.0,12,176,0.0,0.0,12,168,0.0,0.0,6.395097,0.954545,0.441208,2.065143,
1,2,Mortality at 6 months (subgroup analysis-lung cancer),Lung cancer (small cell and non-small cell),1,SUBGROUP_AND_OVERALL,Zacharski 1984,1984,0.0,0.0,0.0,0.0,68,142,0.0,0.0,74,143,0.0,0.0,51.175416,0.92539,0.732739,1.168693,
1,2,Mortality at 6 months (subgroup analysis-lung cancer),Non-lung cancer,2,SUBGROUP_AND_OVERALL,Zacharski 1984,1984,0.0,0.0,0.0,0.0,32,68,0.0,0.0,25,65,0.0,0.0,21.859717,1.223529,0.822099,1.820977,
1,3,Mortality at 12 months (main analysis),,,SUBGROUP_AND_OVERALL,Chahinian 1989,1989,0.0,0.0,0.0,0.0,74,100,0.0,0.0,68,84,0.0,0.0,30.195846,0.914118,0.782279,1.068175,
1,3,Mortality at 12 months (main analysis),,,SUBGROUP_AND_OVERALL,Levine 1994,1994,0.0,0.0,0.0,0.0,87,152,0.0,0.0,99,159,0.0,0.0,21.848923,0.919258,0.765455,1.103966,
1,3,Mortality at 12 months (main analysis),,,SUBGROUP_AND_OVERALL,Maurer 1997,1997,0.0,0.0,0.0,0.0,47,176,0.0,0.0,48,168,0.0,0.0,6.256641,0.934659,0.663829,1.315982,
1,3,Mortality at 12 months (main analysis),,,SUBGROUP_AND_OVERALL,Stanford 1979,1979,0.0,0.0,0.0,0.0,9,12,0.0,0.0,6,12,0.0,0.0,1.716081,1.5,0.780472,2.88287,
1,3,Mortality at 12 months (main analysis),,,SUBGROUP_AND_OVERALL,Zacharski 1984,1984,0.0,0.0,0.0,0.0,138,210,0.0,0.0,141,208,0.0,0.0,39.982508,0.969402,0.846685,1.109906,
1,4,Mortality at 12 months (subgroup analysis-lung cancer),Lung cancer (small cell and non-small cell),1,SUBGROUP_AND_OVERALL,Chahinian 1989,1989,0.0,0.0,0.0,0.0,74,100,0.0,0.0,68,84,0.0,0.0,30.119369,0.914118,0.782279,1.068175,
1,4,Mortality at 12 months (subgroup analysis-lung cancer),Lung cancer (small cell and non-small cell),1,SUBGROUP_AND_OVERALL,Maurer 1997,1997,0.0,0.0,0.0,0.0,47,176,0.0,0.0,48,168,0.0,0.0,6.240795,0.934659,0.663829,1.315982,
1,4,Mortality at 12 months (subgroup analysis-lung cancer),Lung cancer (small cell and non-small cell),1,SUBGROUP_AND_OVERALL,Stanford 1979,1979,0.0,0.0,0.0,0.0,9,12,0.0,0.0,6,12,0.0,0.0,1.711735,1.5,0.780472,2.88287,
