Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Mortality at 6 months (main analysis),Vitamin K antagonist (VKA) versus no prophylaxis,Custom input,"#N/A",Dichotomous,true,,,,,,,VKA,No VKA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,140,486,144,460,0.930106,0.767108,1.127739,,,0.002668,,,2.125184,2,0.345559,5.890496,0.737069,,0.461081,,,,,analysis:461016787175605472
1,2,Mortality at 6 months (subgroup analysis-lung cancer),Vitamin K antagonist (VKA) versus no prophylaxis,Custom input,"#N/A",Dichotomous,true,,,,,,,VKA,No VKA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,140,486,144,460,0.934057,0.765618,1.139554,,,0.00593,,,3.442171,3,0.32834,12.845689,0.672371,,0.501348,2.214165,1,0.136749,54.836246,analysis:461016787176916196
1,3,Mortality at 12 months (main analysis),Vitamin K antagonist (VKA) versus no prophylaxis,Custom input,"#N/A",Dichotomous,true,,,,,,,VKA,No VKA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,355,650,362,631,0.946293,0.868673,1.030847,,,0.0,,,2.327392,4,0.675786,0.0,1.264207,,0.206156,,,,,analysis:461016787177702635
1,4,Mortality at 12 months (subgroup analysis-lung cancer),Vitamin K antagonist (VKA) versus no prophylaxis,Custom input,"#N/A",Dichotomous,true,,,,,,,VKA,No VKA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,355,650,362,631,0.946133,0.868621,1.030562,,,0.0,,,2.415156,5,0.789215,0.0,1.269669,,0.204203,0.0,1,0.999625,0.0,analysis:461016787178489073
1,5,Pulmonary embolism at 12 months,Vitamin K antagonist (VKA) versus no prophylaxis,Custom input,"#N/A",Dichotomous,true,,,,,,,VKA,No VKA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,1,152,1,159,1.046053,0.066016,16.575072,,,0.0,,,0.0,0,1.0,0.0,0.031939,,0.97452,,,,,analysis:461016787181896954
1,6,Symptomatic deep vein thrombosis at 12 months,Vitamin K antagonist (VKA) versus no prophylaxis,Custom input,"#N/A",Dichotomous,true,,,,,,,VKA,No VKA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,0,152,6,159,0.080442,0.004571,1.415775,,,0.0,,,0.0,0,1.0,0.0,1.722356,,0.085005,,,,,analysis:461016787182159100
1,7,Major bleeding at 12 months (main analysis),Vitamin K antagonist (VKA) versus no prophylaxis,Custom input,"#N/A",Dichotomous,true,,,,,,,VKA,No VKA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,108,650,35,631,2.934105,1.862812,4.621491,,,0.030701,,,3.202981,3,0.361376,6.337257,4.643715,,3.0E-6,,,,,analysis:461016787182683390
1,8,Major bleeding at 12 months: sensitivity analysis,Vitamin K antagonist (VKA) versus no prophylaxis,Custom input,"#N/A",Dichotomous,true,,,,,,,VKA,No VKA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,115,694,38,678,2.8938,2.071727,4.042075,,,0.0,,,3.256336,4,0.51588,0.0,6.231826,,0.0,,,,,analysis:461016787183207684
1,9,Major bleeding at 12 months (subgroup analysis-lung cancer),Vitamin K antagonist (VKA) versus no prophylaxis,Custom input,"#N/A",Dichotomous,true,,,,,,,VKA,No VKA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,108,650,35,631,2.851581,1.761767,4.615543,,,0.081618,,,5.602151,4,0.230895,28.598861,4.264912,,2.0E-5,1.932004,1,0.16454,48.240285,analysis:461016787183994123
1,10,Minor bleeding at 12 months (main analysis),Vitamin K antagonist (VKA) versus no prophylaxis,Custom input,"#N/A",Dichotomous,true,,,,,,,VKA,No VKA,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,110,440,33,423,3.139171,1.853438,5.316819,,,0.06996,,,3.665548,3,0.299917,18.156846,4.255168,,2.1E-5,,,,,analysis:461016787184780564
