Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,All-cause mortality at up to day 28,,,SUBGROUP_AND_OVERALL,Beigel 2020,2020,0.0,0.0,0.0,0.0,59,541,0.0,0.0,77,521,0.0,0.0,18.349444,0.737907,0.53741,1.013205,
1,1,All-cause mortality at up to day 28,,,SUBGROUP_AND_OVERALL,Spinner 2020,2020,0.0,0.0,0.0,0.0,3,193,0.0,0.0,4,200,0.0,0.0,0.837779,0.777202,0.176245,3.427294,
1,1,All-cause mortality at up to day 28,,,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,0.0,0.0,0.0,0.0,285,2743,0.0,0.0,289,2708,0.0,0.0,77.011066,0.973576,0.833982,1.136536,
1,1,All-cause mortality at up to day 28,,,SUBGROUP_AND_OVERALL,Wang 2020,2020,0.0,0.0,0.0,0.0,22,158,0.0,0.0,10,78,0.0,0.0,3.80171,1.086076,0.541188,2.179577,
1,2,All-cause mortality at up to day 60,,,SUBGROUP_AND_OVERALL,WHO Solidarity Canada 2022,2022,0.0,0.0,0.0,0.0,127,634,0.0,0.0,152,647,0.0,0.0,100.0,0.852659,0.692103,1.05046,
1,3,In-hospital mortality at up to day 150,,,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,0.0,0.0,0.0,0.0,602,4146,0.0,0.0,643,4129,0.0,0.0,100.0,0.932398,0.841593,1.032999,
1,4,All-cause mortality (time-to-event),,,SUBGROUP_AND_OVERALL,Beigel 2020,2020,-0.314711,0.174362,0.0,0.0,0,541,0.0,0.0,0,521,0.0,0.0,36.38271,0.73,0.518687,1.027401,
1,4,All-cause mortality (time-to-event),,,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,-0.020203,0.082342,0.0,0.0,0,2743,0.0,0.0,0,2708,0.0,0.0,63.61729,0.98,0.833943,1.151637,
1,5,Clinical improvement: alive and ready to discharge,,,SUBGROUP_AND_OVERALL,Beigel 2020,2020,0.0,0.0,0.0,0.0,357,541,0.0,0.0,294,521,0.0,0.0,26.25639,1.169395,1.0616,1.288136,
1,5,Clinical improvement: alive and ready to discharge,,,SUBGROUP_AND_OVERALL,Spinner 2020,2020,0.0,0.0,0.0,0.0,178,193,0.0,0.0,170,200,0.0,0.0,48.465776,1.085035,1.010485,1.165085,
1,5,Clinical improvement: alive and ready to discharge,,,SUBGROUP_AND_OVERALL,WHO Solidarity France 2021,2021,0.0,0.0,0.0,0.0,265,414,0.0,0.0,241,418,0.0,0.0,20.520798,1.110209,0.995167,1.23855,
1,5,Clinical improvement: alive and ready to discharge,,,SUBGROUP_AND_OVERALL,Wang 2020,2020,0.0,0.0,0.0,0.0,92,150,0.0,0.0,45,77,0.0,0.0,4.757035,1.049481,0.836182,1.31719,
1,6,Clinical improvement: alive and ready to discharge (time-to-event),,,SUBGROUP_AND_OVERALL,Spinner 2020,2020,0.10436,0.107189,0.0,0.0,0,193,0.0,0.0,0,200,0.0,0.0,36.485072,1.11,0.899671,1.369501,
1,6,Clinical improvement: alive and ready to discharge (time-to-event),,,SUBGROUP_AND_OVERALL,WHO Solidarity France 2021,2021,0.029559,0.08124,0.0,0.0,0,414,0.0,0.0,0,418,0.0,0.0,63.514928,1.03,0.878387,1.207783,
1,7,Clinical worsening: new need for invasive mechanical ventilation or death,,,SUBGROUP_AND_OVERALL,WHO Solidarity France 2021,2021,0.0,0.0,0.0,0.0,60,339,0.0,0.0,87,344,0.0,0.0,100.0,0.699827,0.522237,0.937808,
1,8,Clinical worsening: new need for invasive mechanical ventilation or death (time-to-event),,,SUBGROUP_AND_OVERALL,Beigel 2020,2020,-0.400478,0.131294,0.0,0.0,0,533,0.0,0.0,0,518,0.0,0.0,62.236778,0.67,0.517985,0.866627,
1,8,Clinical worsening: new need for invasive mechanical ventilation or death (time-to-event),,,SUBGROUP_AND_OVERALL,WHO Solidarity France 2021,2021,-0.415515,0.168552,0.0,0.0,0,339,0.0,0.0,0,344,0.0,0.0,37.763222,0.66,0.474321,0.918366,
1,9,"Adverse events, any grade",,,SUBGROUP_AND_OVERALL,Beigel 2020,2020,0.0,0.0,0.0,0.0,305,532,0.0,0.0,323,516,0.0,0.0,31.016203,0.915873,0.829455,1.011295,
1,9,"Adverse events, any grade",,,SUBGROUP_AND_OVERALL,Spinner 2020,2020,0.0,0.0,0.0,0.0,113,193,0.0,0.0,93,200,0.0,0.0,20.559826,1.259123,1.040997,1.522954,
1,9,"Adverse events, any grade",,,SUBGROUP_AND_OVERALL,WHO Solidarity France 2021,2021,0.0,0.0,0.0,0.0,241,406,0.0,0.0,236,418,0.0,0.0,28.9279,1.051369,0.935779,1.181238,
1,9,"Adverse events, any grade",,,SUBGROUP_AND_OVERALL,Wang 2020,2020,0.0,0.0,0.0,0.0,102,155,0.0,0.0,50,78,0.0,0.0,19.496071,1.026581,0.839535,1.255299,
1,10,"Adverse events, grade 3 to 4",,,SUBGROUP_AND_OVERALL,Beigel 2020,2020,0.0,0.0,0.0,0.0,273,532,0.0,0.0,295,516,0.0,0.0,73.003964,0.897591,0.802904,1.003445,
1,10,"Adverse events, grade 3 to 4",,,SUBGROUP_AND_OVERALL,Spinner 2020,2020,0.0,0.0,0.0,0.0,24,193,0.0,0.0,24,200,0.0,0.0,3.228604,1.036269,0.60989,1.760735,
1,10,"Adverse events, grade 3 to 4",,,SUBGROUP_AND_OVERALL,WHO Solidarity France 2021,2021,0.0,0.0,0.0,0.0,128,406,0.0,0.0,130,418,0.0,0.0,22.177644,1.013717,0.828088,1.240959,
1,10,"Adverse events, grade 3 to 4",,,SUBGROUP_AND_OVERALL,Wang 2020,2020,0.0,0.0,0.0,0.0,13,155,0.0,0.0,11,78,0.0,0.0,1.589787,0.594721,0.279403,1.265891,
1,11,Serious adverse events,,,SUBGROUP_AND_OVERALL,Beigel 2020,2020,0.0,0.0,0.0,0.0,130,532,0.0,0.0,163,516,0.0,0.0,37.366193,0.77356,0.635818,0.941141,
1,11,Serious adverse events,,,SUBGROUP_AND_OVERALL,Spinner 2020,2020,0.0,0.0,0.0,0.0,10,193,0.0,0.0,18,200,0.0,0.0,9.136334,0.575705,0.272681,1.215475,
1,11,Serious adverse events,,,SUBGROUP_AND_OVERALL,WHO Solidarity France 2021,2021,0.0,0.0,0.0,0.0,135,406,0.0,0.0,130,418,0.0,0.0,37.167059,1.069155,0.876773,1.30375,
1,11,Serious adverse events,,,SUBGROUP_AND_OVERALL,Wang 2020,2020,0.0,0.0,0.0,0.0,28,155,0.0,0.0,20,78,0.0,0.0,16.330415,0.704516,0.425091,1.167616,
1,12,Ventilator-free days at day 28,,,SUBGROUP_AND_OVERALL,WHO Solidarity Canada 2022,2022,0.0,0.0,21.4,11.3,0,634,19.5,12.3,0,647,0.0,0.0,100.0,1.9,0.606963,3.193037,
2,1,All-cause mortality at up to day 28,Age < 50 years,1,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,0.0,0.0,0.0,0.0,61,961,0.0,0.0,59,952,0.0,0.0,18.510057,1.024216,0.724294,1.448331,
2,1,All-cause mortality at up to day 28,Age 50 to 69 years,2,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,0.0,0.0,0.0,0.0,154,1282,0.0,0.0,161,1287,0.0,0.0,51.89152,0.960252,0.780753,1.18102,
2,1,All-cause mortality at up to day 28,Age > 69 years,3,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,0.0,0.0,0.0,0.0,86,500,0.0,0.0,83,469,0.0,0.0,29.598424,0.971904,0.738968,1.278265,
3,1,All-cause mortality at up to day 28,≤ 10 days of symptom onset,1,SUBGROUP_AND_OVERALL,Wang 2020,2020,0.0,0.0,0.0,0.0,8,71,0.0,0.0,7,47,0.0,0.0,61.570895,0.756539,0.294036,1.946536,
3,1,All-cause mortality at up to day 28,> 10 days of symptom onset,2,SUBGROUP_AND_OVERALL,Wang 2020,2020,0.0,0.0,0.0,0.0,12,84,0.0,0.0,3,31,0.0,0.0,38.429105,1.47619,0.446301,4.882666,
4,1,All-cause mortality at up to day 28,No oxygen at baseline,1,SUBGROUP_AND_OVERALL,Beigel 2020,2020,0.0,0.0,0.0,0.0,3,75,0.0,0.0,3,63,0.0,0.0,3.44538,0.84,0.175659,4.016873,
4,1,All-cause mortality at up to day 28,No oxygen at baseline,1,SUBGROUP_AND_OVERALL,Spinner 2020,2020,0.0,0.0,0.0,0.0,3,169,0.0,0.0,0,162,0.0,0.0,1.050385,6.711765,0.349404,128.92735,
4,1,All-cause mortality at up to day 28,No oxygen at baseline,1,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,0.0,0.0,0.0,0.0,11,661,0.0,0.0,13,664,0.0,0.0,10.093053,0.849994,0.383576,1.883562,
