Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
2,1,Age < 50 years,1,61,961,59,952,18.510057,1.024216,0.724294,1.448331,0.0,,,0.0,0,1.0,0.0,0.135348,,0.892336,subgroup:460564098265990544
2,1,Age 50 to 69 years,2,154,1282,161,1287,51.89152,0.960252,0.780753,1.18102,0.0,,,0.0,0,1.0,0.0,0.384147,,0.700869,subgroup:460564098266252690
2,1,Age > 69 years,3,86,500,83,469,29.598424,0.971904,0.738968,1.278265,0.0,,,0.0,0,1.0,0.0,0.203854,,0.838468,subgroup:460564098266514836
3,1,≤ 10 days of symptom onset,1,8,71,7,47,61.570895,0.756539,0.294036,1.946536,0.0,,,0.0,0,1.0,0.0,0.578626,,0.562842,subgroup:460564098266776984
3,1,> 10 days of symptom onset,2,12,84,3,31,38.429105,1.47619,0.446301,4.882666,0.0,,,0.0,0,1.0,0.0,0.638121,,0.523395,subgroup:460564098267039130
4,1,No oxygen at baseline,1,17,905,16,889,14.588817,0.949054,0.476174,1.891544,0.0,,,1.830115,2,0.400494,0.0,0.148598,,0.881871,subgroup:460564098267039134
4,1,Low-flow oxygen at baseline,2,9,232,25,203,11.135815,0.315,0.150555,0.659062,0.0,,,0.0,0,1.0,0.0,3.06689,,0.002163,subgroup:460564098267563426
4,1,Low-flow or high-flow oxygen at baseline,3,192,1828,219,1811,27.834334,0.868559,0.723631,1.042513,0.0,,,0.0,0,1.0,0.0,1.512965,,0.130289,subgroup:460564098267563428
4,1,Mechanical ventilation at baseline,4,135,480,120,485,46.441034,1.061688,0.712963,1.580981,0.056567,,,3.05316,1,0.08058,67.247052,0.294645,,0.768265,subgroup:460564098267825574
4,2,No oxygen at baseline,1,25,869,33,861,9.533711,0.750602,0.450255,1.251298,0.0,,,0.0,0,1.0,0.0,1.10021,,0.271241,subgroup:460564098268087722
4,2,Low-flow or high-flow oxygen at baseline,2,426,2918,476,2921,51.449004,0.895878,0.794387,1.010336,0.0,,,0.0,0,1.0,0.0,1.792337,,0.073079,subgroup:460564098268349868
4,2,Mechanical ventilation at baseline,3,151,359,134,347,39.017285,1.089199,0.909935,1.303779,0.0,,,0.0,0,1.0,0.0,0.931265,,0.351717,subgroup:460564098268612014
5,1,5-day remdesivir,1,2,191,2,100,45.379364,0.52356,0.074864,3.6615,0.0,,,0.0,0,1.0,0.0,0.65209,,0.514343,subgroup:460564098268612018
5,1,10-day remdesivir,2,3,193,2,100,54.620636,0.777202,0.13201,4.575733,0.0,,,0.0,0,0.0,0.0,0.278662,,0.780504,subgroup:460564098268874164
