Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Angus 2020,2020,0.0,0.0,0.0,0.0,37,141,0.0,0.0,17,52,0.0,0.0,2.469,0.80267,0.497575,1.294838,Angus 2020 intervention arm: shock-dependent hydrocortisone
1,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Angus 2020,2020,0.0,0.0,0.0,0.0,41,137,0.0,0.0,16,49,0.0,0.0,2.483384,0.916515,0.568936,1.476439,Angus 2020 intervention arm: fixed-dose hydrocortisone
1,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,7,35,0.0,0.0,5,29,0.0,0.0,0.525276,1.16,0.411342,3.271244,
1,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Dequin 2020,2020,0.0,0.0,0.0,0.0,11,76,0.0,0.0,20,73,0.0,0.0,1.288648,0.528289,0.272525,1.024087,
1,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,482,2104,0.0,0.0,1110,4321,0.0,0.0,64.778156,0.89179,0.812302,0.979056,
1,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Jamaati 2021,2021,0.0,0.0,0.0,0.0,16,25,0.0,0.0,15,25,0.0,0.0,2.989294,1.066667,0.690696,1.647291,
1,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Jeronimo 2020,2020,0.0,0.0,0.0,0.0,79,209,0.0,0.0,80,207,0.0,0.0,9.456168,0.97805,0.766023,1.248764,
1,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Munch 2021a,2021,0.0,0.0,0.0,0.0,6,16,0.0,0.0,2,14,0.0,0.0,0.275883,2.625,0.627837,10.97519,
1,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Tang 2021,2021,0.0,0.0,0.0,0.0,0,43,0.0,0.0,1,43,0.0,0.0,0.056071,0.333333,0.013956,7.961364,
1,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,85,151,0.0,0.0,91,148,0.0,0.0,15.678119,0.915508,0.757264,1.10682,
1,2,All-cause mortality up to 120 days,,,SUBGROUP_AND_OVERALL,Edalatifard 2020,2020,0.0,0.0,0.0,0.0,2,34,0.0,0.0,12,28,0.0,0.0,26.489611,0.137255,0.033479,0.562703,
1,2,All-cause mortality up to 120 days,,,SUBGROUP_AND_OVERALL,Jeronimo 2020,2020,0.0,0.0,0.0,0.0,80,194,0.0,0.0,82,199,0.0,0.0,42.929989,1.000754,0.790269,1.267302,Matched with long-term data from Barros 2021
1,2,All-cause mortality up to 120 days,,,SUBGROUP_AND_OVERALL,Munch 2021a,2021,0.0,0.0,0.0,0.0,7,16,0.0,0.0,3,14,0.0,0.0,30.5804,2.041667,0.648642,6.426353,
1,3,Clinical improvement: discharged alive,,,SUBGROUP_AND_OVERALL,Edalatifard 2020,2020,0.0,0.0,0.0,0.0,32,34,0.0,0.0,16,28,0.0,0.0,0.952382,1.647059,1.182218,2.294672,
1,3,Clinical improvement: discharged alive,,,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,1416,2104,0.0,0.0,2748,4321,0.0,0.0,97.677211,1.058242,1.019433,1.098529,
1,3,Clinical improvement: discharged alive,,,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,42,151,0.0,0.0,25,148,0.0,0.0,1.370407,1.646623,1.060333,2.557088,
1,4,Clinical worsening: new need for IMV or death,,,SUBGROUP_AND_OVERALL,Angus 2020,2020,0.0,0.0,0.0,0.0,23,50,0.0,0.0,19,24,0.0,0.0,3.608545,0.581053,0.40387,0.835967,Angus 2020 intervention arm: fixed-dose hydrocortisone
1,4,Clinical worsening: new need for IMV or death,,,SUBGROUP_AND_OVERALL,Angus 2020,2020,0.0,0.0,0.0,0.0,42,70,0.0,0.0,18,24,0.0,0.0,3.767757,0.8,0.592715,1.079777,Angus 2020 intervention arm: shock-dependent hydrocortisone
1,4,Clinical worsening: new need for IMV or death,,,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,462,1780,0.0,0.0,1003,3638,0.0,0.0,92.623699,0.941421,0.856528,1.034727,
1,5,Serious adverse events,,,SUBGROUP_AND_OVERALL,Angus 2020,2020,0.0,0.0,0.0,0.0,4,137,0.0,0.0,1,49,0.0,0.0,0.0,1.430657,0.163859,12.491118,Angus 2020 intervention arm: fixed-dose hydrocortisone
1,5,Serious adverse events,,,SUBGROUP_AND_OVERALL,Angus 2020,2020,0.0,0.0,0.0,0.0,5,141,0.0,0.0,0,52,0.0,0.0,0.0,4.105634,0.230972,72.979408,Angus 2020 intervention arm: shock-dependent hydrocortisone
1,5,Serious adverse events,,,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,5,151,0.0,0.0,9,148,0.0,0.0,0.0,0.544518,0.186877,1.586605,
1,6,Adverse events,,,SUBGROUP_AND_OVERALL,Edalatifard 2020,2020,0.0,0.0,0.0,0.0,2,34,0.0,0.0,2,28,0.0,0.0,0.0,0.823529,0.123783,5.478938,
1,6,Adverse events,,,SUBGROUP_AND_OVERALL,Tang 2021,2021,0.0,0.0,0.0,0.0,5,43,0.0,0.0,8,43,0.0,0.0,0.0,0.625,0.222169,1.758232,
1,6,Adverse events,,,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,122,151,0.0,0.0,121,148,0.0,0.0,0.0,0.988233,0.886349,1.101828,
1,7,Hospital-acquired infections,,,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,5,35,0.0,0.0,1,29,0.0,0.0,0.0,4.142857,0.512488,33.490085,
1,7,Hospital-acquired infections,,,SUBGROUP_AND_OVERALL,Dequin 2020,2020,0.0,0.0,0.0,0.0,28,76,0.0,0.0,30,73,0.0,0.0,0.0,0.896491,0.599384,1.340871,
1,7,Hospital-acquired infections,,,SUBGROUP_AND_OVERALL,Tang 2021,2021,0.0,0.0,0.0,0.0,2,43,0.0,0.0,1,43,0.0,0.0,0.0,2.0,0.188285,21.244405,
1,7,Hospital-acquired infections,,,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,30,151,0.0,0.0,39,148,0.0,0.0,0.0,0.753948,0.496117,1.145773,
1,8,Invasive fungal infections,,,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,1,35,0.0,0.0,0,29,0.0,0.0,0.0,2.5,0.10567,59.146199,
1,9,Quality of life up to 120 days,,,SUBGROUP_AND_OVERALL,Jeronimo 2020,2020,0.0,0.0,43.3,14.2,0,56,40.6,13.9,0,62,0.0,0.0,0.0,2.7,-2.379675,7.779675,
