Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
2,1,No oxygen,1,89,501,145,1034,13.614067,1.266791,0.995102,1.612658,0.0,,,0.0,0,1.0,0.0,1.920094,,0.054846,subgroup:460564144043674252
2,1,Low-flow oxygen only,2,13,47,11,38,3.680931,0.900211,0.496262,1.632967,0.0,,,0.088602,1,0.765962,0.0,0.345987,,0.729352,subgroup:460564144044198542
2,1,"NIV, high-flow, and low-flow oxygen combined",3,298,1279,682,2604,23.764131,0.889615,0.790194,1.001546,0.0,,,0.0,0,1.0,0.0,1.93442,,0.053061,subgroup:460564144044460689
2,1,NIV or high-flow oxygen only,4,20,102,20,93,4.114945,0.912038,0.52509,1.584134,0.0,,,0.296533,1,0.586064,0.0,0.326856,,0.743777,subgroup:460564144044460691
2,1,Invasive ventilation,5,233,541,431,898,54.825927,0.852064,0.698299,1.039688,0.022596,,,7.459105,2,0.024004,73.187133,1.576657,,0.114875,subgroup:460564144046033558
3,1,Dexamethasone,1,583,2280,1216,4494,83.445569,0.901966,0.830744,0.979295,0.0,,,0.666224,2,0.71669,0.0,2.458499,,0.013952,subgroup:460564144046557852
3,1,Methylprednisolone,2,86,287,86,279,10.037515,0.980906,0.773797,1.243448,0.0,,,0.54595,2,0.761112,0.0,0.159321,,0.873416,subgroup:460564144047344288
3,1,Hydrocortisone,3,95,370,55,188,6.516916,0.824204,0.562569,1.207518,0.048865,,,4.452486,3,0.216568,32.621916,0.992223,,0.321089,subgroup:460564144050227876
3,2,Hydrocortisone,1,7,16,3,14,30.5804,2.041667,0.648642,6.426353,0.0,,,0.0,0,1.0,0.0,1.220048,,0.222447,subgroup:460564144050490026
3,2,Methylprednisolone,2,82,228,94,227,69.4196,0.418034,0.05754,3.037076,1.81163,,,7.801402,1,0.005221,87.181791,0.862022,,0.388675,subgroup:460564144050752172
3,3,Dexamethasone,1,1458,2255,2773,4469,99.047618,1.066383,1.027158,1.107106,,,,3.904394,1,0.04816,74.387832,3.361297,,7.76E-4,subgroup:460564144051014320
3,3,Methylprednisolone,2,32,34,16,28,0.952382,1.647059,1.182218,2.294672,,,,0.0,0,1.0,0.0,2.949362,,0.003184,subgroup:460564144051014323
4,1,Female,1,186,839,360,1636,29.96592,0.943878,0.810531,1.099163,0.0,,,0.108869,2,0.94702,0.0,0.743265,,0.457321,subgroup:460564144051276471
4,1,Male,2,388,1451,846,2862,70.03408,0.878544,0.795235,0.970579,0.0,,,0.877387,2,0.644878,0.0,2.547438,,0.010852,subgroup:460564144051538619
5,1,< 70 years,1,176,1258,486,2627,44.388336,0.699902,0.600445,0.815831,0.0,,,1.359898,2,0.506643,0.0,4.562895,,5.0E-6,subgroup:460564144052062913
5,1,≥ 70 years,2,398,1025,720,1871,55.611664,1.015153,0.918153,1.122401,8.67E-4,,,2.148959,2,0.341476,6.931673,0.293503,,0.769138,subgroup:460564144052325061
6,1,White,1,408,1585,854,3168,46.878966,0.958295,0.8658,1.060671,0.0,,,0.131685,1,0.716691,0.0,0.82259,,0.410741,subgroup:460564144052587211
6,1,"Black, Asian or minority ethnic group",2,52,364,160,783,29.295888,0.699107,0.524638,0.931596,0.0,,,0.0,0,1.0,0.0,2.443688,,0.014538,subgroup:460564144052849358
6,1,Unknown,3,29,190,101,399,23.825146,0.60297,0.4144,0.877349,0.0,,,0.0,0,1.0,0.0,2.643798,,0.008198,subgroup:460564144053111504
7,1,High-income countries,1,584,2509,1170,4538,71.820347,0.886012,0.80774,0.971869,2.23E-4,,,5.02003,5,0.413441,0.399009,2.564621,,0.010329,subgroup:460564144053373652
7,1,Low- and middle-income countries,2,180,428,187,423,28.179653,0.949423,0.824113,1.093787,0.0,,,0.891658,3,0.82744,0.0,0.718658,,0.472352,subgroup:460564144053897947
