Study,Year,Data source,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Identification,Char: Notes
Angus 2020,2020,PUB,,,,,,
Corral-Gudino 2021,2021,PUB,,,,,,
Dequin 2020,2020,PUB,,,,,,
Edalatifard 2020,2020,PUB,,,,,,
Farahani 2021,2021,PUB,,,,,,
Horby 2021,2021,PUB,,,,,,
Jamaati 2021,2021,PUB,,,,,,
Jeronimo 2020,2020,PUB,,,,,,
Maskin 2021,2021,PUB,,,,,,
Munch 2021a,2021,PUB,,,,,,
Munch 2021b,2021,PUB,,,,,,
Ranjbar 2021,2021,PUB,,,,,,
Taboada 2021,2021,PUB,,,,,,
Tang 2021,2021,PUB,,,,,,
Tomazini 2020,2020,PUB,,,,,,
Toroghi 2021,2021,PUB,,,,,,
