"Review","Added","Outcome","Study","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","Weight","Mean","CI.start","CI.end","random.sequence.generation..selection.bias.","allocation.concealment..selection.bias.","performance.bias","detection.bias","attrition.bias","reporting.bias","other.bias","Overall.bias","measure","yi","vi"
"Convalescent plasma","2021-05-01","AEs","Agarwal 2020",NA,NA,0,227,NA,NA,0,224,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0132452267500209,3.99116959064327
"Convalescent plasma","2021-05-01","AEs","AlQahtani 2021",NA,NA,0,20,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0,3.90476190476191
"Convalescent plasma","2021-05-01","AEs","Simonovich 2020",NA,NA,40,228,NA,NA,21,105,88.5,0.877193,0.545568,1.410397,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.131028262406404,0.0587092731829574
"Convalescent plasma","2021-05-01","AEs","Avendano-Sola 2021",NA,NA,4,38,NA,NA,4,43,11.5,1.13,0.3,4.22,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.123613955967177,0.450428396572827
"Convalescent plasma","2023-02-01","Improvement","Simonovich 2020",NA,NA,171,228,NA,NA,80,105,3.500273,0.984375,0.863881,1.121676,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.0157483569681391,0.00443817878028404
"Convalescent plasma","2023-02-01","Improvement","Li 2020",NA,NA,26,51,NA,NA,18,50,0.285518,1.416122,0.896502,2.236918,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.347922152829138,0.0544092508798391
"Convalescent plasma","2023-02-01","Improvement","Devos 2021",NA,NA,257,320,NA,NA,130,163,6.686283,1.006995,0.916217,1.106768,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.0069708394526275,0.00232338895081191
"Convalescent plasma","2023-02-01","Improvement","Gharbharan 2021",NA,NA,31,43,NA,NA,28,43,0.723873,1.107143,0.83082,1.475368,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.101782694309942,0.021460722323438
"Convalescent plasma","2023-02-01","Improvement","Horby 2021b",NA,NA,3832,5795,NA,NA,3822,5763,88.006019,0.99708,0.971451,1.023385,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.00292429004665301,0.000176520163161486
"Convalescent plasma","2023-02-01","Improvement","Sekine 2021",NA,NA,44,80,NA,NA,46,80,0.798033,0.956522,0.727668,1.25735,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.0444517625708337,0.0194664031620553
"Convalescent plasma","2021-05-01","Mortality","Agarwal 2020",NA,NA,34,235,NA,NA,31,229,1.527301,1.068771,0.680511,1.67855,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.0665098095410956,0.053047697846001
"Convalescent plasma","2021-05-01","Mortality","AlQahtani 2021",NA,NA,1,20,NA,NA,2,20,0.058059,0.5,0.049183,5.08306,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.693147180559945,1.4
"Convalescent plasma","2021-05-01","Mortality","Avendano-Sola 2021",NA,NA,7,179,NA,NA,14,171,0.400396,0.477654,0.197579,1.154744,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.73886942989804,0.202851168890569
"Convalescent plasma","2021-05-01","Mortality","Simonovich 2020",NA,NA,25,228,NA,NA,12,105,0.741705,0.95943,0.501698,1.834781,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.0414161037167169,0.109423558897243
"Convalescent plasma","2021-05-01","Mortality","Li 2020",NA,NA,8,51,NA,NA,12,50,0.481293,0.653595,0.292191,1.462008,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.425267735404344,0.168725490196078
"Convalescent plasma","2021-05-01","Mortality","Horby 2021b",NA,NA,1399,5795,NA,NA,1408,5763,64.652202,0.988121,0.926511,1.053828,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.0119498663896924,0.00107894026613288
"Convalescent plasma","2021-05-01","Mortality","Ray 2022",NA,NA,10,40,NA,NA,14,40,0.668484,0.714286,0.360792,1.414122,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-0.336472236621213,0.121428571428571
"Convalescent plasma","2023-02-01","Mortality","Holm 2021",NA,NA,2,17,NA,NA,3,14,0.115594,0.54902,0.106134,2.84001,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.599621122549122,0.703081232492997
"Convalescent plasma","2023-02-01","Mortality","Kirenga 2021",NA,NA,10,69,NA,NA,8,67,0.415265,1.213768,0.510147,2.887863,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.193729666107916,0.195581873242483
"Convalescent plasma","2023-02-01","Mortality","Korley 2021",NA,NA,5,257,NA,NA,1,254,0.068178,4.941634,0.581396,42.001891,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",1.59769609455742,1.19217194154233
"Convalescent plasma","2023-02-01","Mortality","Menichetti 2021",NA,NA,14,231,NA,NA,19,240,0.702352,0.76555,0.393196,1.49052,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.267160436730984,0.115564479380269
"Ivermectin COVID-19","2021-07-01","Mortality","Gonzalez 2021",NA,NA,5,36,NA,NA,6,37,79.463014,0.856481,0.286661,2.558987,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.15492258260584,0.311861861861862
"Ivermectin COVID-19","2021-07-01","Mortality","Kirti 2021",NA,NA,0,55,NA,NA,3,57,20.536986,0.147959,0.007819,2.799748,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-1.91081882924404,2.2506157635468
"Ivermectin COVID-19","2022-06-01","Mortality","Krolewiecki 2021",NA,NA,0,30,NA,NA,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.661398482245365,3.90524193548387
"Remdesivir COVID-19","2023-01-01","Mortality","Beigel 2020",NA,NA,59,541,NA,NA,77,521,18.349444,0.737907,0.53741,1.013205,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.303937215041079,0.0261683508973509
"Remdesivir COVID-19","2023-01-01","Mortality","Spinner 2020",NA,NA,3,193,NA,NA,4,200,0.837779,0.777202,0.176245,3.427294,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.25205489480863,0.573151986183074
"Remdesivir COVID-19","2023-01-01","Mortality","WHO Solidarity Trial Consortium 2022",NA,NA,285,2743,NA,NA,289,2708,77.011066,0.973576,0.833982,1.136536,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.0267793647492192,0.00623513897806279
"Remdesivir COVID-19","2023-01-01","Mortality","Wang 2020",NA,NA,22,158,NA,NA,10,78,3.80171,1.086076,0.541188,2.179577,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.0825711540268952,0.126304918709982
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Angus 2020a",NA,NA,37,141,NA,NA,17,52,2.469,0.80267,0.497575,1.294838,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.219811603208732,0.0595275886264622
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Angus 2020b",NA,NA,41,137,NA,NA,16,49,2.483384,0.916515,0.568936,1.476439,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0871772832529716,0.0591828105641402
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Corral-Gudino 2021",NA,NA,7,35,NA,NA,5,29,0.525276,1.16,0.411342,3.271244,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.148420005118273,0.279802955665025
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Dequin 2020",NA,NA,11,76,NA,NA,20,73,1.288648,0.528289,0.272525,1.024087,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.63811089989356,0.114052566035263
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Horby 2021",NA,NA,482,2104,NA,NA,1110,4321,64.778156,0.89179,0.812302,0.979056,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.114524618181447,0.00226887661627277
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Jamaati 2021",NA,NA,16,25,NA,NA,15,25,2.989294,1.066667,0.690696,1.647291,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.0645385211375712,0.0491666666666667
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Jeronimo 2020",NA,NA,79,209,NA,NA,80,207,9.456168,0.97805,0.766023,1.248764,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0221942409063021,0.0155426209784898
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Munch 2021a",NA,NA,6,16,NA,NA,2,14,0.275883,2.625,0.627837,10.97519,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.965080896043587,0.532738095238095
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Tang 2021",NA,NA,0,43,NA,NA,1,43,0.056071,0.333333,0.013956,7.961364,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-1.09861228866811,2.62121212121212
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Tomazini 2020",NA,NA,85,151,NA,NA,91,148,15.678119,0.915508,0.757264,1.10682,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0882758130773429,0.00937444355831578
"Chronic rhinosinusitis","2021-03-01","SAEs","Bachert 2016",NA,NA,2,30,NA,NA,4,30,8.884596,0.5,0.098931,2.527011,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"RR",-0.693147180559945,0.683333333333333
"Chronic rhinosinusitis","2021-03-01","SAEs","LIBERTY SINUS 24",NA,NA,6,143,NA,NA,19,132,43.889903,0.291498,0.120086,0.707586,"Low risk","Low risk","Low risk","Low risk","Unclear risk","Unclear risk","Low risk",NA,"RR",-1.23272221761192,0.204729481045271
"Chronic rhinosinusitis","2021-03-01","SAEs","LIBERTY SINUS 52",NA,NA,20,297,NA,NA,16,150,47.225502,0.631313,0.33711,1.182272,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"RR",-0.459953293392234,0.10246632996633
"Chronic rhinosinusitis","2021-03-01","Avoidance","LIBERTY SINUS 24",NA,NA,3,143,NA,NA,10,133,55.659208,0.279021,0.078482,0.991983,"Low risk","Low risk","Low risk","Low risk","Unclear risk","Unclear risk","Low risk",NA,"RR",-1.27646830636409,0.418821529347845
"Chronic rhinosinusitis","2021-03-01","Avoidance","LIBERTY SINUS 52",NA,NA,2,295,NA,NA,12,154,44.340792,0.087006,0.019723,0.383824,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"RR",-2.44178222315425,0.573449996331352
"Chronic rhinosinusitis","2021-03-01","AEs","Bachert 2016",NA,NA,14,30,NA,NA,10,30,19.019813,1.4,0.742369,2.640195,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"RR",0.336472236621213,0.104761904761905
"Chronic rhinosinusitis","2021-03-01","AEs","LIBERTY SINUS 24",NA,NA,19,143,NA,NA,20,133,22.611858,0.883566,0.49381,1.58095,"Low risk","Low risk","Low risk","Low risk","Unclear risk","Unclear risk","Low risk",NA,"RR",-0.123788796425704,0.0881197749618802
"Chronic rhinosinusitis","2021-03-01","AEs","LIBERTY SINUS 52",NA,NA,61,297,NA,NA,36,150,58.36833,0.85578,0.595787,1.22923,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"RR",-0.155741918989242,0.0341375503670586
"Convalescent plasma","2023-02-01","Mortality","Bar 2021",NA,NA,2,40,NA,NA,10,39,0.147929,0.195,0.045618,0.833556,NA,NA,NA,NA,NA,NA,NA,"Not applicable","RR",-1.63475572041839,0.549358974358974
"Convalescent plasma","2023-02-01","Mortality","De Santis 2022",NA,NA,8,36,NA,NA,18,71,0.585377,0.876543,0.422447,1.818754,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.131769277631123,0.138693270735524
"Convalescent plasma","2023-02-01","Mortality","Estcourt 2021",NA,NA,352,1074,NA,NA,300,904,18.837778,0.98761,0.870637,1.120299,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.0124672137347375,0.00413694903751511
"Convalescent plasma","2023-02-01","Mortality","Begin 2021",NA,NA,141,614,NA,NA,63,307,4.452505,1.119048,0.859799,1.456466,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.11247798342669,0.0180792209692341
"Convalescent plasma","2023-02-01","Mortality","Devos 2021",NA,NA,29,320,NA,NA,14,163,0.839538,1.055134,0.573693,1.9406,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.0536677053842052,0.0966513607241077
